,ID,style,clothing_categories,mix_clothing_categories,하의_색상,상의_색상,상의_소매기장,아우터_색상,아우터_소매기장,원피스_색상,원피스_소매기장,하의_서브색상,원피스_서브색상,아우터_서브색상,상의_서브색상
0,1070263,기타,"하의, 상의",3,화이트,화이트,7부소매,,,,,,,,
1,1092253,기타,"하의, 상의",3,베이지,그레이,반팔,,,,,,,,
2,1181014,기타,"아우터, 원피스, 상의",7,,베이지,긴팔,베이지,긴팔,베이지,없음,,,,
3,1181015,기타,"아우터, 원피스, 상의",7,,베이지,긴팔,베이지,긴팔,베이지,민소매,,,,
4,1181016,기타,"아우터, 하의, 원피스",8,베이지,,,그린,긴팔,베이지,없음,브라운,그레이,,
5,1181017,기타,"아우터, 하의, 원피스",8,베이지,,,그린,긴팔,베이지,없음,브라운,그레이,,
6,1181018,기타,"아우터, 하의, 원피스",8,베이지,,,그린,긴팔,베이지,없음,브라운,그레이,,
7,1181019,기타,"아우터, 원피스, 상의",7,,베이지,긴팔,베이지,긴팔,베이지,민소매,,,,
8,1181020,기타,"아우터, 하의, 상의",10,베이지,베이지,긴팔,베이지,긴팔,,,,,,
9,1181023,기타,"아우터, 하의, 상의",10,베이지,베이지,긴팔,베이지,긴팔,,,,,,
10,1181024,기타,"아우터, 상의",2,,베이지,긴팔,베이지,긴팔,,,,,,
11,1181025,기타,"아우터, 하의, 상의",10,베이지,베이지,긴팔,베이지,긴팔,,,,,,
12,1181043,기타,"아우터, 상의",2,,라벤더,긴팔,라벤더,긴팔,,,,,화이트,화이트
13,1181044,기타,"아우터, 하의, 상의",10,화이트,라벤더,긴팔,라벤더,긴팔,,,,,화이트,화이트
14,1181045,기타,"아우터, 상의",2,,라벤더,긴팔,라벤더,긴팔,,,,,화이트,화이트
15,1181046,기타,"아우터, 하의, 상의",10,화이트,라벤더,긴팔,라벤더,긴팔,,,,,화이트,화이트
16,1181047,기타,"아우터, 상의",2,,라벤더,긴팔,라벤더,긴팔,,,,,화이트,화이트
17,1181048,기타,"아우터, 하의, 상의",10,화이트,라벤더,긴팔,라벤더,긴팔,,,,,화이트,화이트
18,1181049,기타,"아우터, 상의",2,,라벤더,긴팔,라벤더,긴팔,,,,,화이트,화이트
19,1181050,기타,"아우터, 하의, 상의",10,블루,화이트,긴팔,화이트,긴팔,,,,,그레이,그레이
20,1181053,기타,"아우터, 상의",2,,화이트,긴팔,화이트,긴팔,,,,,그레이,그레이
21,1181054,기타,"아우터, 하의, 상의",10,블루,화이트,긴팔,화이트,긴팔,,,,,그레이,그레이
22,1181055,기타,"아우터, 상의",2,,화이트,긴팔,화이트,긴팔,,,,,그레이,그레이
23,1181056,기타,"아우터, 상의",2,,화이트,긴팔,화이트,긴팔,,,,,그레이,그레이
24,1181057,기타,"아우터, 상의",2,,화이트,긴팔,화이트,긴팔,,,,,그레이,그레이
25,1181058,기타,"아우터, 상의",2,,화이트,긴팔,화이트,긴팔,,,,,그레이,그레이
26,1181059,기타,"아우터, 상의",2,,화이트,긴팔,화이트,긴팔,,,,,그레이,그레이
27,1181100,기타,"아우터, 하의, 상의",10,화이트,화이트,긴팔,화이트,긴팔,,,,,네이비,네이비
28,1181103,기타,"아우터, 상의",2,,화이트,긴팔,화이트,긴팔,,,,,네이비,네이비
29,1181104,기타,"아우터, 하의, 상의",10,화이트,화이트,긴팔,화이트,긴팔,,,,,네이비,네이비
30,1181105,기타,"아우터, 하의, 상의",10,화이트,화이트,긴팔,화이트,긴팔,,,,,네이비,네이비
31,1181106,기타,"아우터, 상의",2,,화이트,긴팔,화이트,긴팔,,,,,네이비,네이비
32,1181107,기타,"아우터, 상의",2,,화이트,긴팔,화이트,긴팔,,,,,네이비,네이비
33,1181108,기타,"아우터, 상의",2,,화이트,긴팔,화이트,긴팔,,,,,네이비,네이비
34,1181109,기타,"아우터, 상의",2,,화이트,긴팔,화이트,긴팔,,,,,네이비,네이비
35,1181110,기타,"아우터, 상의",2,,화이트,긴팔,화이트,긴팔,,,,,네이비,네이비
36,1181129,기타,"아우터, 상의",2,,오렌지,7부소매,오렌지,7부소매,,,,,화이트,화이트
37,1181142,기타,"아우터, 하의, 상의",10,화이트,화이트,7부소매,네이비,7부소매,,,,,화이트,네이비
38,1181144,기타,"아우터, 하의, 상의",10,화이트,화이트,7부소매,네이비,7부소매,,,,,화이트,네이비
39,1181149,기타,"아우터, 하의, 상의",10,화이트,화이트,7부소매,네이비,7부소매,,,,,화이트,네이비
40,1181164,기타,"아우터, 하의, 상의",10,블루,화이트,7부소매,화이트,7부소매,,,,,그레이,그레이
41,1181165,기타,"아우터, 상의",2,,화이트,7부소매,화이트,7부소매,,,,,그레이,그레이
42,1181168,기타,"아우터, 원피스, 상의",7,,화이트,7부소매,화이트,7부소매,화이트,7부소매,,,그레이,그레이
43,1181169,기타,"아우터, 하의, 상의",10,블루,화이트,7부소매,화이트,7부소매,,,,,그레이,그레이
44,1181189,기타,"아우터, 하의, 상의",10,스카이블루,베이지,긴팔,라벤더,7부소매,,,,,,
45,1181190,기타,"아우터, 상의",2,,라벤더,긴팔,라벤더,긴팔,,,,,,
46,1181191,기타,"아우터, 하의, 상의",10,스카이블루,베이지,긴팔,베이지,긴팔,,,,,,
47,1181192,기타,"아우터, 상의",2,,라벤더,긴팔,라벤더,7부소매,,,,,,
48,1181193,기타,"아우터, 상의",2,,라벤더,긴팔,라벤더,7부소매,,,,,,
49,1192165,기타,"하의, 상의",3,스카이블루,블루,반팔,,,,,,,,
50,1238507,기타,"하의, 상의",3,와인,와인,긴팔,,,,,,,,베이지
51,1238508,기타,"하의, 상의",3,와인,와인,긴팔,,,,,,,,베이지
52,1238509,기타,"하의, 상의",3,와인,와인,긴팔,,,,,,,,베이지
53,1238514,기타,"하의, 상의",3,블랙,블랙,긴팔,,,,,,,,화이트
54,1238517,기타,"하의, 상의",3,블랙,블랙,긴팔,,,,,,,,화이트
55,1238532,기타,"하의, 원피스",1,블루,,,,,블루,긴팔,,,,
56,1238534,기타,"원피스, 상의",5,,블루,긴팔,,,블루,긴팔,,,,화이트
57,1238573,기타,"하의, 원피스",1,베이지,,,,,레드,긴팔,,,,
58,1238574,기타,"하의, 원피스",1,화이트,,,,,레드,긴팔,,,,
59,1238575,기타,"하의, 원피스",1,화이트,,,,,레드,긴팔,,,,
60,1238576,기타,"하의, 상의",3,화이트,레드,긴팔,,,,,,,,블랙
61,1238577,기타,"하의, 상의",3,화이트,레드,긴팔,,,,,,,,블랙
62,1238578,기타,"하의, 상의",3,화이트,레드,긴팔,,,,,,,,블랙
63,1238579,기타,"하의, 원피스",1,화이트,,,,,레드,긴팔,,,,
64,1311668,기타,"아우터, 원피스",6,,,,베이지,긴팔,베이지,긴팔,,,화이트,
65,1311669,기타,"아우터, 원피스",6,,,,베이지,긴팔,베이지,긴팔,,,화이트,
66,1311670,기타,"아우터, 원피스",6,,,,베이지,긴팔,베이지,긴팔,,,화이트,
67,1311671,기타,"아우터, 원피스",6,,,,베이지,긴팔,베이지,긴팔,,,화이트,
68,1311672,기타,"아우터, 원피스",6,,,,베이지,긴팔,베이지,긴팔,,,화이트,
69,1311673,기타,"아우터, 하의, 원피스",8,네이비,,,베이지,긴팔,베이지,긴팔,,,화이트,
70,1340064,기타,"아우터, 상의",2,,블랙,없음,베이지,긴팔,,,,,,
71,1340066,기타,"아우터, 하의, 상의",10,베이지,블랙,없음,베이지,긴팔,,,,,,
