,ID,style,clothing_categories,mix_clothing_categories,하의_기장,하의_색상,하의_카테고리,하의_소재,하의_프린트,하의_핏,상의_색상,상의_카테고리,상의_옷깃,상의_소매기장,상의_소재,상의_프린트,상의_핏,상의_서브색상,상의_기장,상의_디테일,상의_넥라인,하의_서브색상,하의_디테일,아우터_기장,아우터_색상,아우터_카테고리,아우터_디테일,아우터_소매기장,아우터_소재,아우터_프린트,아우터_넥라인,아우터_핏,아우터_서브색상,아우터_옷깃,원피스_카테고리,원피스_디테일,원피스_소재,원피스_프린트,원피스_넥라인,원피스_핏,원피스_기장,원피스_색상,원피스_서브색상,원피스_소매기장,원피스_옷깃
0,100307,레트로,"하의, 상의",3,발목,블랙,팬츠,['우븐'],['무지'],와이드,베이지,블라우스,보우칼라,긴팔,['시폰'],['도트'],루즈,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,100308,레트로,"하의, 상의",3,발목,블랙,팬츠,['우븐'],['무지'],와이드,,블라우스,보우칼라,,['시폰'],['도트'],루즈,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,100309,레트로,"하의, 상의",3,발목,블랙,팬츠,['우븐'],['무지'],와이드,베이지,블라우스,보우칼라,긴팔,['시폰'],['도트'],루즈,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,100312,레트로,"하의, 상의",3,발목,블랙,팬츠,['우븐'],['무지'],와이드,베이지,블라우스,보우칼라,긴팔,['시폰'],['도트'],루즈,실버,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1009276,레트로,"하의, 상의",3,발목,블랙,팬츠,,['무지'],노멀,화이트,블라우스,,반팔,,['믹스'],루즈,블루,롱,['퍼프'],라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
5,1009277,레트로,"하의, 상의",3,발목,블랙,팬츠,,['무지'],노멀,화이트,블라우스,,반팔,,['믹스'],루즈,블루,롱,['퍼프'],라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
6,1009278,레트로,"하의, 상의",3,발목,블랙,팬츠,,['무지'],노멀,화이트,블라우스,,반팔,,['믹스'],루즈,블루,롱,['퍼프'],라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
7,1009279,레트로,"하의, 상의",3,발목,블랙,팬츠,,['무지'],노멀,화이트,블라우스,,반팔,,['믹스'],루즈,블루,롱,['퍼프'],라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
8,1009280,레트로,"하의, 상의",3,발목,블랙,팬츠,,['무지'],노멀,화이트,블라우스,,반팔,,['믹스'],루즈,블루,롱,['퍼프'],라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
9,1009281,레트로,"하의, 상의",3,발목,블랙,팬츠,,['무지'],노멀,화이트,블라우스,,반팔,,['믹스'],루즈,블루,롱,['퍼프'],라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
