,ID,style,clothing_categories,mix_clothing_categories,하의_기장,하의_색상,하의_카테고리,하의_소재,하의_프린트,하의_핏,상의_색상,상의_카테고리,상의_옷깃,상의_소매기장,상의_소재,상의_프린트,상의_핏,아우터_기장,아우터_색상,아우터_카테고리,아우터_옷깃,아우터_소매기장,아우터_소재,아우터_프린트,아우터_핏,상의_넥라인,아우터_디테일,상의_기장,상의_디테일,하의_디테일,아우터_넥라인,상의_서브색상,하의_서브색상,원피스_색상,원피스_서브색상,원피스_카테고리,원피스_소매기장,원피스_소재,원피스_프린트,원피스_넥라인,원피스_핏,아우터_서브색상,원피스_기장,원피스_옷깃,원피스_디테일
0,1002940,매니시,"하의, 상의",3,발목,와인,팬츠,['우븐'],['무지'],와이드,화이트,셔츠,폴로칼라,긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1002941,매니시,"하의, 상의",3,발목,와인,팬츠,['우븐'],['무지'],와이드,화이트,셔츠,폴로칼라,긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1002951,매니시,"하의, 상의",3,발목,와인,팬츠,['우븐'],['무지'],와이드,베이지,셔츠,폴로칼라,긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1002952,매니시,"하의, 상의",3,발목,와인,팬츠,['우븐'],['무지'],와이드,베이지,셔츠,폴로칼라,긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1002953,매니시,"하의, 상의",3,발목,와인,팬츠,['우븐'],['무지'],와이드,베이지,셔츠,폴로칼라,긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1002954,매니시,"하의, 상의",3,발목,와인,팬츠,['우븐'],['무지'],와이드,베이지,셔츠,폴로칼라,긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1002958,매니시,"하의, 상의",3,발목,와인,팬츠,['우븐'],['무지'],와이드,베이지,셔츠,폴로칼라,긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1002959,매니시,"하의, 상의",3,발목,와인,팬츠,['우븐'],['무지'],와이드,베이지,셔츠,폴로칼라,긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1002960,매니시,"하의, 상의",3,발목,와인,팬츠,['우븐'],['무지'],와이드,베이지,셔츠,폴로칼라,긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1002961,매니시,"하의, 상의",3,발목,와인,팬츠,['우븐'],['무지'],와이드,베이지,셔츠,폴로칼라,긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1002962,매니시,"하의, 상의",3,발목,와인,팬츠,['우븐'],['무지'],와이드,베이지,셔츠,폴로칼라,긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1002963,매니시,"하의, 상의",3,발목,와인,팬츠,['우븐'],['무지'],와이드,베이지,셔츠,폴로칼라,긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1002969,매니시,"하의, 상의",3,발목,와인,팬츠,['우븐'],['무지'],와이드,베이지,셔츠,폴로칼라,긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1002970,매니시,"하의, 상의",3,발목,와인,팬츠,['우븐'],['무지'],와이드,베이지,셔츠,폴로칼라,긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1002971,매니시,"하의, 상의",3,발목,와인,팬츠,['우븐'],['무지'],와이드,베이지,셔츠,폴로칼라,긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1002972,매니시,"하의, 상의",3,,와인,,,,,베이지,셔츠,폴로칼라,긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1002974,매니시,"하의, 상의",3,발목,와인,팬츠,['우븐'],['무지'],와이드,베이지,셔츠,폴로칼라,긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,100508,매니시,"아우터, 상의",2,,,,,,,화이트,티셔츠,,없음,['우븐'],['레터링'],노멀,하프,그레이,재킷,테일러드칼라,긴팔,['우븐'],['무지'],루즈,라운드넥,,,,,,,,,,,,,,,,,,,
18,100509,매니시,"아우터, 상의",2,,,,,,,화이트,티셔츠,,없음,['우븐'],['레터링'],노멀,하프,그레이,재킷,테일러드칼라,긴팔,['우븐'],['무지'],루즈,라운드넥,,,,,,,,,,,,,,,,,,,
19,100510,매니시,"아우터, 상의",2,,,,,,,화이트,티셔츠,,없음,['우븐'],['레터링'],노멀,하프,그레이,재킷,테일러드칼라,긴팔,['우븐'],['무지'],루즈,라운드넥,,,,,,,,,,,,,,,,,,,
20,100511,매니시,"아우터, 하의, 상의",10,발목,화이트,팬츠,['우븐'],['무지'],노멀,화이트,티셔츠,,없음,['우븐'],['레터링'],노멀,하프,그레이,재킷,테일러드칼라,긴팔,['우븐'],['무지'],루즈,라운드넥,,,,,,,,,,,,,,,,,,,
21,100514,매니시,"아우터, 하의, 상의",10,발목,,팬츠,['우븐'],['무지'],노멀,화이트,티셔츠,,없음,['우븐'],['레터링'],노멀,하프,그레이,재킷,테일러드칼라,긴팔,['우븐'],['무지'],루즈,라운드넥,,,,,,,,,,,,,,,,,,,
22,100516,매니시,"아우터, 상의",2,,,,,,,화이트,티셔츠,,없음,['우븐'],['레터링'],노멀,하프,그레이,재킷,테일러드칼라,긴팔,['우븐'],['무지'],루즈,라운드넥,,,,,,,,,,,,,,,,,,,
23,100517,매니시,"아우터, 상의",2,,,,,,,화이트,티셔츠,,없음,['우븐'],['레터링'],노멀,하프,그레이,재킷,테일러드칼라,긴팔,['우븐'],['무지'],루즈,라운드넥,,,,,,,,,,,,,,,,,,,
24,100518,매니시,"아우터, 상의",2,,,,,,,화이트,티셔츠,,없음,['우븐'],['레터링'],노멀,하프,그레이,재킷,테일러드칼라,긴팔,['우븐'],['무지'],루즈,라운드넥,,,,,,,,,,,,,,,,,,,
25,100519,매니시,"아우터, 하의, 상의",10,발목,화이트,팬츠,['우븐'],['무지'],노멀,화이트,티셔츠,,없음,['우븐'],['레터링'],노멀,하프,그레이,재킷,테일러드칼라,긴팔,['우븐'],['무지'],루즈,라운드넥,,,,,,,,,,,,,,,,,,,
26,100520,매니시,"아우터, 상의",2,,,,,,,화이트,티셔츠,,없음,['우븐'],['레터링'],노멀,하프,그레이,재킷,테일러드칼라,긴팔,['우븐'],['무지'],루즈,라운드넥,,,,,,,,,,,,,,,,,,,
27,100521,매니시,"아우터, 상의",2,,,,,,,,티셔츠,,,['우븐'],['레터링'],노멀,하프,그레이,재킷,테일러드칼라,긴팔,['우븐'],['무지'],루즈,라운드넥,,,,,,,,,,,,,,,,,,,
28,100524,매니시,"아우터, 상의",2,,,,,,,,티셔츠,,,['우븐'],['레터링'],노멀,하프,그레이,재킷,테일러드칼라,긴팔,['우븐'],['무지'],루즈,라운드넥,,,,,,,,,,,,,,,,,,,
29,100525,매니시,"아우터, 상의",2,,,,,,,화이트,티셔츠,,없음,['우븐'],['레터링'],노멀,하프,그레이,재킷,테일러드칼라,긴팔,['우븐'],['무지'],루즈,라운드넥,,,,,,,,,,,,,,,,,,,
30,100526,매니시,"아우터, 상의",2,,,,,,,화이트,티셔츠,,없음,['우븐'],['레터링'],노멀,하프,그레이,재킷,테일러드칼라,긴팔,['우븐'],['무지'],루즈,라운드넥,,,,,,,,,,,,,,,,,,,
31,1011879,매니시,"아우터, 하의",4,발목,화이트,팬츠,['우븐'],['무지'],스키니,,,,,,,,하프,스카이블루,재킷,테일러드칼라,7부소매,['우븐'],['무지'],노멀,,"['롤업', '포켓']",,,,,,,,,,,,,,,,,,
32,1011880,매니시,"아우터, 하의",4,발목,화이트,팬츠,['우븐'],['무지'],스키니,,,,,,,,하프,스카이블루,재킷,테일러드칼라,7부소매,['우븐'],['무지'],노멀,,"['롤업', '포켓']",,,,,,,,,,,,,,,,,,
33,1011881,매니시,"아우터, 하의",4,발목,화이트,팬츠,['우븐'],['무지'],스키니,,,,,,,,하프,스카이블루,재킷,테일러드칼라,7부소매,['우븐'],['무지'],노멀,,['롤업'],,,,,,,,,,,,,,,,,,
34,1011882,매니시,"아우터, 하의",4,발목,화이트,팬츠,['우븐'],['무지'],스키니,,,,,,,,하프,스카이블루,재킷,테일러드칼라,7부소매,['우븐'],['무지'],노멀,,['롤업'],,,,,,,,,,,,,,,,,,
35,1011883,매니시,"아우터, 하의",4,,화이트,팬츠,['우븐'],['무지'],스키니,,,,,,,,하프,스카이블루,재킷,테일러드칼라,7부소매,['우븐'],['무지'],노멀,,"['롤업', '포켓']",,,,,,,,,,,,,,,,,,
36,1011884,매니시,"아우터, 하의",4,,화이트,팬츠,['우븐'],['무지'],스키니,,,,,,,,하프,스카이블루,재킷,테일러드칼라,7부소매,['우븐'],['무지'],노멀,,"['롤업', '포켓']",,,,,,,,,,,,,,,,,,
37,1011885,매니시,"아우터, 하의",4,,화이트,팬츠,['우븐'],['무지'],스키니,,,,,,,,하프,스카이블루,재킷,테일러드칼라,7부소매,['우븐'],['무지'],노멀,,"['롤업', '포켓']",,,,,,,,,,,,,,,,,,
38,1011886,매니시,"아우터, 하의",4,,화이트,팬츠,['우븐'],['무지'],스키니,,,,,,,,하프,스카이블루,재킷,테일러드칼라,7부소매,['우븐'],['무지'],노멀,,"['롤업', '포켓']",,,,,,,,,,,,,,,,,,
39,1011892,매니시,"아우터, 하의",4,발목,화이트,팬츠,['우븐'],['무지'],스키니,,,,,,,,하프,스카이블루,재킷,테일러드칼라,7부소매,['우븐'],['무지'],노멀,,"['롤업', '포켓']",,,,,,,,,,,,,,,,,,
40,1011893,매니시,"아우터, 하의",4,발목,화이트,팬츠,['우븐'],['무지'],스키니,,,,,,,,하프,스카이블루,재킷,테일러드칼라,7부소매,['우븐'],['무지'],노멀,,"['롤업', '포켓']",,,,,,,,,,,,,,,,,,
41,1011894,매니시,"아우터, 하의",4,발목,화이트,팬츠,['우븐'],['무지'],스키니,,,,,,,,하프,스카이블루,재킷,테일러드칼라,7부소매,['우븐'],['무지'],노멀,,"['롤업', '포켓']",,,,,,,,,,,,,,,,,,
42,1011895,매니시,"아우터, 하의",4,,화이트,팬츠,['우븐'],['무지'],스키니,,,,,,,,하프,스카이블루,재킷,테일러드칼라,7부소매,['우븐'],['무지'],노멀,,"['롤업', '포켓']",,,,,,,,,,,,,,,,,,
43,1011896,매니시,"아우터, 하의",4,발목,화이트,팬츠,['우븐'],['무지'],스키니,,,,,,,,하프,스카이블루,재킷,테일러드칼라,7부소매,['우븐'],['무지'],노멀,,"['롤업', '포켓']",,,,,,,,,,,,,,,,,,
44,1011899,매니시,"아우터, 하의",4,발목,화이트,팬츠,['우븐'],['무지'],스키니,,,,,,,,하프,스카이블루,재킷,테일러드칼라,7부소매,['우븐'],['무지'],노멀,,"['롤업', '포켓']",,,,,,,,,,,,,,,,,,
45,1011900,매니시,"아우터, 하의",4,발목,화이트,팬츠,['우븐'],['무지'],스키니,,,,,,,,하프,스카이블루,재킷,테일러드칼라,7부소매,['우븐'],['무지'],노멀,,"['롤업', '포켓']",,,,,,,,,,,,,,,,,,
46,1011901,매니시,"아우터, 하의",4,발목,화이트,팬츠,['우븐'],['무지'],스키니,,,,,,,,하프,스카이블루,재킷,테일러드칼라,7부소매,['우븐'],['무지'],노멀,,"['롤업', '포켓']",,,,,,,,,,,,,,,,,,
47,1011902,매니시,"아우터, 하의, 상의",10,발목,화이트,팬츠,['우븐'],['무지'],스키니,스카이블루,,,7부소매,,,,하프,,재킷,테일러드칼라,,['우븐'],['무지'],노멀,,"['롤업', '포켓']",,,,,,,,,,,,,,,,,,
48,1011903,매니시,"아우터, 하의, 상의",10,발목,화이트,팬츠,['우븐'],['무지'],스키니,스카이블루,,,7부소매,,,,하프,,재킷,테일러드칼라,,['우븐'],['무지'],노멀,,"['롤업', '포켓']",,,,,,,,,,,,,,,,,,
49,1011904,매니시,"아우터, 하의, 상의",10,발목,화이트,팬츠,['우븐'],['무지'],스키니,스카이블루,,,7부소매,,,,하프,,재킷,테일러드칼라,,['우븐'],['무지'],노멀,,"['롤업', '포켓']",,,,,,,,,,,,,,,,,,
50,1011905,매니시,"아우터, 하의, 상의",10,발목,화이트,팬츠,['우븐'],['무지'],스키니,스카이블루,,,7부소매,,,,하프,,재킷,테일러드칼라,,['우븐'],['무지'],노멀,,"['롤업', '포켓']",,,,,,,,,,,,,,,,,,
51,1011906,매니시,"아우터, 하의, 상의",10,발목,화이트,팬츠,['우븐'],['무지'],스키니,스카이블루,,,7부소매,,,,하프,,재킷,테일러드칼라,,['우븐'],['무지'],노멀,,"['롤업', '포켓']",,,,,,,,,,,,,,,,,,
52,1011909,매니시,"아우터, 하의",4,발목,화이트,팬츠,['우븐'],['무지'],스키니,,,,,,,,하프,스카이블루,재킷,테일러드칼라,7부소매,['우븐'],['무지'],노멀,,"['롤업', '포켓']",,,,,,,,,,,,,,,,,,
53,1011910,매니시,"아우터, 하의",4,,화이트,팬츠,['우븐'],['무지'],스키니,,,,,,,,하프,스카이블루,재킷,테일러드칼라,7부소매,['우븐'],['무지'],노멀,,"['롤업', '포켓']",,,,,,,,,,,,,,,,,,
54,1011911,매니시,"아우터, 하의",4,,화이트,팬츠,['우븐'],['무지'],스키니,,,,,,,,하프,스카이블루,재킷,테일러드칼라,7부소매,['우븐'],['무지'],노멀,,"['롤업', '포켓']",,,,,,,,,,,,,,,,,,
55,1011912,매니시,"아우터, 하의",4,,화이트,팬츠,['우븐'],['무지'],스키니,,,,,,,,하프,스카이블루,재킷,테일러드칼라,7부소매,['우븐'],['무지'],노멀,,"['롤업', '포켓']",,,,,,,,,,,,,,,,,,
56,1011913,매니시,"아우터, 하의",4,,화이트,팬츠,['우븐'],['무지'],스키니,,,,,,,,하프,스카이블루,재킷,테일러드칼라,7부소매,['우븐'],['무지'],노멀,,"['롤업', '포켓']",,,,,,,,,,,,,,,,,,
57,1011914,매니시,"아우터, 하의",4,발목,화이트,팬츠,['우븐'],['무지'],스키니,,,,,,,,하프,스카이블루,재킷,테일러드칼라,7부소매,['우븐'],['무지'],노멀,,"['롤업', '포켓']",,,,,,,,,,,,,,,,,,
58,1011916,매니시,"아우터, 하의",4,발목,화이트,팬츠,['우븐'],['무지'],스키니,,,,,,,,하프,스카이블루,재킷,테일러드칼라,7부소매,['우븐'],['무지'],노멀,,"['롤업', '포켓']",,,,,,,,,,,,,,,,,,
59,1011970,매니시,"아우터, 하의",4,미니,화이트,팬츠,['린넨'],['무지'],노멀,,,,,,,,하프,화이트,재킷,테일러드칼라,긴팔,['린넨'],['무지'],노멀,,"['포켓', '단추']",,,,,,,,,,,,,,,,,,
60,1011971,매니시,"아우터, 하의",4,미니,화이트,팬츠,['린넨'],['무지'],노멀,,,,,,,,하프,화이트,재킷,테일러드칼라,긴팔,['린넨'],['무지'],노멀,,,,,,,,,,,,,,,,,,,,
61,1011972,매니시,"아우터, 하의",4,미니,화이트,팬츠,['린넨'],['무지'],노멀,,,,,,,,하프,화이트,재킷,테일러드칼라,긴팔,['린넨'],['무지'],노멀,,"['포켓', '단추']",,,,,,,,,,,,,,,,,,
62,1011973,매니시,"아우터, 하의",4,미니,화이트,팬츠,['린넨'],['무지'],노멀,,,,,,,,하프,화이트,재킷,테일러드칼라,긴팔,['린넨'],['무지'],노멀,,"['포켓', '단추']",,,,,,,,,,,,,,,,,,
63,1011974,매니시,"아우터, 하의",4,미니,화이트,팬츠,['린넨'],['무지'],노멀,,,,,,,,하프,화이트,재킷,테일러드칼라,긴팔,['린넨'],['무지'],노멀,,"['포켓', '단추']",,,,,,,,,,,,,,,,,,
64,1011975,매니시,"아우터, 하의",4,미니,화이트,팬츠,['린넨'],['무지'],노멀,,,,,,,,하프,화이트,재킷,테일러드칼라,긴팔,['린넨'],['무지'],노멀,,['포켓'],,,,,,,,,,,,,,,,,,
65,1012183,매니시,"하의, 상의",3,미니,그레이,팬츠,['우븐'],['무지'],와이드,핑크,셔츠,셔츠칼라,반팔,['우븐'],['무지'],노멀,,,,,,,,,,,노멀,"['단추', '리본']",,,,,,,,,,,,,,,,
66,1012184,매니시,"하의, 상의",3,미니,그레이,팬츠,['우븐'],['무지'],와이드,핑크,셔츠,셔츠칼라,반팔,['우븐'],['무지'],노멀,,,,,,,,,,,노멀,"['단추', '리본']",,,,,,,,,,,,,,,,
67,1012185,매니시,"하의, 상의",3,미니,그레이,팬츠,['우븐'],['무지'],와이드,핑크,셔츠,셔츠칼라,반팔,['우븐'],['무지'],노멀,,,,,,,,,,,노멀,['리본'],,,,,,,,,,,,,,,,
68,1012186,매니시,"하의, 상의",3,미니,그레이,팬츠,['우븐'],['무지'],와이드,핑크,셔츠,,반팔,['우븐'],['무지'],노멀,,,,,,,,,,,노멀,['리본'],,,,,,,,,,,,,,,,
69,1012189,매니시,"하의, 상의",3,미니,그레이,팬츠,['우븐'],['무지'],와이드,핑크,셔츠,셔츠칼라,반팔,['우븐'],['무지'],노멀,,,,,,,,,,,노멀,"['단추', '리본']",,,,,,,,,,,,,,,,
70,1012190,매니시,"하의, 상의",3,미니,그레이,팬츠,['우븐'],['무지'],와이드,핑크,셔츠,셔츠칼라,반팔,['우븐'],['무지'],노멀,,,,,,,,,,,노멀,['리본'],,,,,,,,,,,,,,,,
71,1012191,매니시,"하의, 상의",3,미니,그레이,팬츠,['우븐'],['무지'],와이드,핑크,셔츠,셔츠칼라,반팔,['우븐'],['무지'],노멀,,,,,,,,,,,노멀,"['단추', '리본']",,,,,,,,,,,,,,,,
72,1012192,매니시,"하의, 상의",3,미니,그레이,팬츠,['우븐'],['무지'],와이드,핑크,셔츠,셔츠칼라,반팔,['우븐'],['무지'],노멀,,,,,,,,,,,노멀,"['단추', '리본']",,,,,,,,,,,,,,,,
73,1012193,매니시,"하의, 상의",3,미니,그레이,팬츠,['우븐'],['무지'],와이드,핑크,셔츠,셔츠칼라,반팔,['우븐'],['무지'],노멀,,,,,,,,,,,노멀,"['단추', '리본']",,,,,,,,,,,,,,,,
74,1012194,매니시,"하의, 상의",3,미니,그레이,팬츠,['우븐'],['무지'],와이드,핑크,셔츠,셔츠칼라,반팔,['우븐'],['무지'],노멀,,,,,,,,,,,노멀,"['단추', '리본']",,,,,,,,,,,,,,,,
75,1012195,매니시,"하의, 상의",3,미니,그레이,팬츠,['우븐'],['무지'],와이드,핑크,셔츠,셔츠칼라,반팔,['우븐'],['무지'],노멀,,,,,,,,,,,노멀,"['단추', '리본']",,,,,,,,,,,,,,,,
76,1012196,매니시,"하의, 상의",3,미니,그레이,팬츠,['우븐'],['무지'],와이드,핑크,셔츠,셔츠칼라,반팔,['우븐'],['무지'],노멀,,,,,,,,,,,노멀,"['단추', '리본']",,,,,,,,,,,,,,,,
77,1012199,매니시,"하의, 상의",3,미니,그레이,팬츠,['우븐'],['무지'],와이드,핑크,셔츠,,반팔,['우븐'],['무지'],노멀,,,,,,,,,,,노멀,['리본'],,,,,,,,,,,,,,,,
78,1012200,매니시,"하의, 상의",3,미니,그레이,팬츠,['우븐'],['무지'],와이드,핑크,셔츠,셔츠칼라,반팔,['우븐'],['무지'],노멀,,,,,,,,,,,노멀,"['단추', '리본']",,,,,,,,,,,,,,,,
79,1012201,매니시,"하의, 상의",3,미니,그레이,팬츠,['우븐'],['무지'],와이드,핑크,셔츠,셔츠칼라,반팔,['우븐'],['무지'],노멀,,,,,,,,,,,노멀,"['단추', '리본']",,,,,,,,,,,,,,,,
80,1012202,매니시,"하의, 상의",3,미니,그레이,팬츠,['우븐'],['무지'],와이드,핑크,셔츠,셔츠칼라,반팔,['우븐'],['무지'],노멀,,,,,,,,,,,노멀,"['단추', '리본']",,,,,,,,,,,,,,,,
81,1012203,매니시,"하의, 상의",3,미니,그레이,팬츠,['우븐'],['무지'],와이드,핑크,셔츠,셔츠칼라,반팔,['우븐'],['무지'],노멀,,,,,,,,,,,노멀,"['단추', '리본']",,,,,,,,,,,,,,,,
82,1012204,매니시,"하의, 상의",3,미니,그레이,팬츠,['우븐'],['무지'],와이드,핑크,셔츠,셔츠칼라,반팔,['우븐'],['무지'],노멀,,,,,,,,,,,노멀,"['단추', '리본']",,,,,,,,,,,,,,,,
83,1012205,매니시,"하의, 상의",3,미니,그레이,팬츠,['우븐'],['무지'],와이드,핑크,셔츠,셔츠칼라,반팔,['우븐'],['무지'],노멀,,,,,,,,,,,노멀,"['단추', '리본']",,,,,,,,,,,,,,,,
