,ID,style,clothing_categories,mix_clothing_categories,하의_기장,하의_색상,하의_서브색상,하의_카테고리,하의_소재,하의_프린트,하의_핏,상의_색상,상의_서브색상,상의_카테고리,상의_디테일,상의_소매기장,상의_소재,상의_프린트,상의_넥라인,상의_핏,아우터_기장,아우터_색상,아우터_카테고리,아우터_디테일,아우터_소매기장,아우터_소재,아우터_프린트,아우터_핏,하의_디테일,아우터_옷깃,아우터_넥라인,상의_기장,아우터_서브색상,원피스_기장,원피스_색상,원피스_서브색상,원피스_카테고리,원피스_디테일,원피스_소매기장,원피스_소재,원피스_프린트,원피스_넥라인,원피스_핏,상의_옷깃
0,1020811,밀리터리,"하의, 상의",3,미니,네이비,블랙,팬츠,['우븐'],['카무플라쥬'],루즈,화이트,블랙,티셔츠,['드롭숄더'],반팔,['저지'],['레터링'],라운드넥,루즈,,,,,,,,,,,,,,,,,,,,,,,,
1,1020812,밀리터리,"하의, 상의",3,미니,네이비,블랙,팬츠,['우븐'],['카무플라쥬'],루즈,화이트,블랙,티셔츠,['드롭숄더'],반팔,['저지'],['레터링'],라운드넥,루즈,,,,,,,,,,,,,,,,,,,,,,,,
2,1020813,밀리터리,"하의, 상의",3,미니,네이비,블랙,팬츠,['우븐'],['카무플라쥬'],루즈,화이트,블랙,티셔츠,['드롭숄더'],반팔,['저지'],['레터링'],라운드넥,루즈,,,,,,,,,,,,,,,,,,,,,,,,
3,1020814,밀리터리,"하의, 상의",3,미니,네이비,블랙,팬츠,['우븐'],['카무플라쥬'],루즈,화이트,블랙,티셔츠,['드롭숄더'],반팔,['저지'],['레터링'],라운드넥,루즈,,,,,,,,,,,,,,,,,,,,,,,,
4,1020815,밀리터리,"하의, 상의",3,미니,네이비,블랙,팬츠,['우븐'],['카무플라쥬'],루즈,화이트,블랙,티셔츠,['드롭숄더'],반팔,['저지'],['레터링'],라운드넥,루즈,,,,,,,,,,,,,,,,,,,,,,,,
5,1020817,밀리터리,"하의, 상의",3,미니,네이비,블랙,팬츠,['우븐'],['카무플라쥬'],루즈,화이트,,티셔츠,['드롭숄더'],반팔,['저지'],,,루즈,,,,,,,,,,,,,,,,,,,,,,,,
6,1020820,밀리터리,"하의, 상의",3,미니,네이비,블랙,팬츠,['우븐'],['카무플라쥬'],루즈,화이트,,티셔츠,['드롭숄더'],반팔,['저지'],,,루즈,,,,,,,,,,,,,,,,,,,,,,,,
7,1020821,밀리터리,"하의, 상의",3,미니,네이비,블랙,팬츠,['우븐'],['카무플라쥬'],루즈,화이트,,티셔츠,['드롭숄더'],반팔,['저지'],['레터링'],라운드넥,루즈,,,,,,,,,,,,,,,,,,,,,,,,
8,1020823,밀리터리,"하의, 상의",3,미니,네이비,블랙,팬츠,['우븐'],['카무플라쥬'],루즈,화이트,블랙,티셔츠,['드롭숄더'],반팔,['저지'],['레터링'],라운드넥,루즈,,,,,,,,,,,,,,,,,,,,,,,,
9,1020824,밀리터리,"하의, 상의",3,미니,네이비,블랙,팬츠,['우븐'],['카무플라쥬'],루즈,화이트,블랙,티셔츠,['드롭숄더'],반팔,['저지'],['레터링'],라운드넥,루즈,,,,,,,,,,,,,,,,,,,,,,,,
