,ID,style,clothing_categories,mix_clothing_categories,아우터_기장,아우터_색상,아우터_카테고리,아우터_디테일,아우터_소매기장,아우터_소재,아우터_프린트,아우터_넥라인,아우터_핏,하의_기장,하의_색상,하의_카테고리,하의_디테일,하의_소재,하의_프린트,하의_핏,원피스_기장,원피스_색상,원피스_카테고리,원피스_소매기장,원피스_소재,원피스_프린트,원피스_넥라인,원피스_핏,아우터_서브색상,상의_기장,상의_색상,상의_카테고리,상의_소매기장,상의_소재,상의_프린트,상의_넥라인,상의_핏,아우터_옷깃,상의_디테일,하의_서브색상,상의_서브색상,원피스_서브색상,원피스_디테일,상의_옷깃,원피스_옷깃
0,1008002,섹시,"아우터, 하의",4,맥시,베이지,가디건,['슬릿'],긴팔,['우븐'],['무지'],노카라,루즈,미니,블랙,팬츠,['포켓'],['우븐'],['무지'],스키니,,,,,,,,,,,,,,,,,,,,,,,,,
1,1008010,섹시,"아우터, 하의",4,맥시,베이지,가디건,['슬릿'],긴팔,['우븐'],['무지'],노카라,루즈,미니,블랙,팬츠,['포켓'],['우븐'],['무지'],스키니,,,,,,,,,,,,,,,,,,,,,,,,,
2,1018965,섹시,"아우터, 원피스",6,노말,핑크,가디건,,긴팔,['저지'],['무지'],,타이트,,,,,,,,미니,핑크,드레스,민소매,['저지'],['무지'],스퀘어넥,타이트,,,,,,,,,,,,,,,,,
3,1018966,섹시,"아우터, 원피스",6,노말,핑크,가디건,,긴팔,['저지'],['무지'],,타이트,,,,,,,,미니,핑크,드레스,민소매,['저지'],['무지'],스퀘어넥,타이트,,,,,,,,,,,,,,,,,
4,1018967,섹시,"아우터, 원피스",6,노말,핑크,가디건,,긴팔,['저지'],['무지'],,타이트,,,,,,,,미니,핑크,드레스,민소매,['저지'],['무지'],스퀘어넥,타이트,,,,,,,,,,,,,,,,,
5,1018970,섹시,"아우터, 원피스",6,노말,핑크,가디건,,긴팔,['저지'],['무지'],,타이트,,,,,,,,미니,핑크,드레스,민소매,['저지'],['무지'],,타이트,,,,,,,,,,,,,,,,,
6,1018971,섹시,"아우터, 원피스",6,노말,핑크,가디건,,긴팔,['저지'],['무지'],,타이트,,,,,,,,미니,핑크,드레스,민소매,['저지'],['무지'],스퀘어넥,타이트,,,,,,,,,,,,,,,,,
7,1018972,섹시,"아우터, 원피스",6,노말,핑크,가디건,,긴팔,['저지'],['무지'],,타이트,,,,,,,,미니,핑크,드레스,민소매,['저지'],['무지'],스퀘어넥,타이트,,,,,,,,,,,,,,,,,
8,1018973,섹시,"아우터, 원피스",6,노말,핑크,가디건,,긴팔,['저지'],['무지'],,타이트,,,,,,,,미니,핑크,드레스,민소매,['저지'],['무지'],스퀘어넥,타이트,,,,,,,,,,,,,,,,,
9,1018974,섹시,"아우터, 원피스",6,노말,핑크,가디건,,긴팔,['저지'],['무지'],,타이트,,,,,,,,미니,핑크,드레스,민소매,['저지'],['무지'],스퀘어넥,타이트,,,,,,,,,,,,,,,,,
10,1018975,섹시,"아우터, 원피스",6,노말,핑크,가디건,,긴팔,['저지'],['무지'],,타이트,,,,,,,,미니,핑크,드레스,민소매,['저지'],['무지'],스퀘어넥,타이트,,,,,,,,,,,,,,,,,
11,1018976,섹시,"아우터, 원피스",6,노말,핑크,가디건,,긴팔,['저지'],['무지'],,타이트,,,,,,,,미니,핑크,드레스,민소매,['저지'],['무지'],스퀘어넥,타이트,,,,,,,,,,,,,,,,,
12,1018977,섹시,"아우터, 원피스",6,노말,핑크,가디건,,긴팔,['저지'],['무지'],,타이트,,,,,,,,미니,핑크,드레스,민소매,['저지'],['무지'],스퀘어넥,타이트,,,,,,,,,,,,,,,,,
13,1018980,섹시,"아우터, 원피스",6,노말,핑크,가디건,,긴팔,['저지'],['무지'],,타이트,,,,,,,,미니,핑크,드레스,민소매,['저지'],['무지'],스퀘어넥,타이트,,,,,,,,,,,,,,,,,
14,1018981,섹시,"아우터, 원피스",6,노말,핑크,가디건,,긴팔,['저지'],['무지'],,타이트,,,,,,,,미니,핑크,드레스,민소매,['저지'],['무지'],스퀘어넥,타이트,,,,,,,,,,,,,,,,,
15,1018982,섹시,"아우터, 원피스",6,노말,핑크,가디건,,긴팔,['저지'],['무지'],,타이트,,,,,,,,미니,핑크,드레스,민소매,['저지'],['무지'],스퀘어넥,타이트,,,,,,,,,,,,,,,,,
16,1018983,섹시,"아우터, 원피스",6,노말,핑크,가디건,,긴팔,['저지'],['무지'],,타이트,,,,,,,,미니,핑크,드레스,민소매,['저지'],['무지'],스퀘어넥,타이트,,,,,,,,,,,,,,,,,
