,ID,style,clothing_categories,mix_clothing_categories,아우터_기장,아우터_색상,아우터_카테고리,아우터_디테일,아우터_소매기장,아우터_프린트,아우터_넥라인,아우터_핏,원피스_기장,원피스_카테고리,원피스_프린트,원피스_핏,원피스_색상,원피스_소매기장,하의_기장,하의_색상,하의_카테고리,하의_프린트,하의_핏,상의_기장,상의_색상,상의_카테고리,상의_디테일,상의_소매기장,상의_소재,상의_프린트,상의_넥라인,상의_핏,하의_소재,아우터_소재,하의_디테일,하의_서브색상,상의_서브색상,아우터_서브색상,아우터_옷깃,원피스_디테일,원피스_소재,원피스_넥라인,상의_옷깃,원피스_서브색상,원피스_옷깃
0,1003857,스포티,"아우터, 원피스",6,노말,블랙,짚업,['지퍼'],긴팔,['무지'],후드,루즈,발목,드레스,['무지'],루즈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1003865,스포티,"아우터, 원피스",6,노말,,짚업,['지퍼'],,['무지'],후드,루즈,발목,드레스,['무지'],루즈,블랙,민소매,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1003866,스포티,"아우터, 원피스",6,노말,,짚업,['지퍼'],,['무지'],후드,루즈,발목,드레스,['무지'],루즈,블랙,민소매,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1003867,스포티,"아우터, 원피스",6,노말,,짚업,['지퍼'],,['무지'],후드,루즈,발목,드레스,['무지'],루즈,블랙,민소매,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1003868,스포티,"아우터, 원피스",6,노말,블랙,짚업,['지퍼'],긴팔,['무지'],후드,루즈,발목,드레스,['무지'],루즈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1003869,스포티,"아우터, 원피스",6,노말,블랙,짚업,['지퍼'],긴팔,['무지'],후드,루즈,발목,드레스,['무지'],루즈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1003872,스포티,"아우터, 원피스",6,노말,블랙,짚업,['지퍼'],긴팔,['무지'],후드,루즈,발목,드레스,['무지'],루즈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1003873,스포티,"아우터, 원피스",6,노말,블랙,짚업,['지퍼'],긴팔,['무지'],,루즈,발목,드레스,['무지'],루즈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1003874,스포티,"아우터, 원피스",6,노말,블랙,짚업,['지퍼'],긴팔,['무지'],,루즈,발목,드레스,['무지'],루즈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1003875,스포티,"아우터, 원피스",6,노말,블랙,짚업,['지퍼'],긴팔,['무지'],,루즈,발목,드레스,['무지'],루즈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1003876,스포티,"아우터, 원피스",6,노말,블랙,짚업,['지퍼'],긴팔,['무지'],,루즈,발목,드레스,['무지'],루즈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1003877,스포티,"아우터, 원피스",6,노말,블랙,짚업,['지퍼'],긴팔,['무지'],,루즈,발목,드레스,['무지'],루즈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1003878,스포티,"아우터, 원피스",6,노말,블랙,짚업,['지퍼'],긴팔,['무지'],,루즈,발목,드레스,['무지'],루즈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1003879,스포티,"아우터, 원피스",6,노말,블랙,짚업,['지퍼'],긴팔,['무지'],,루즈,발목,드레스,['무지'],루즈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1003882,스포티,"아우터, 원피스",6,노말,블랙,짚업,['지퍼'],긴팔,['무지'],,루즈,발목,드레스,['무지'],루즈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1003883,스포티,"아우터, 원피스",6,노말,블랙,짚업,['지퍼'],긴팔,['무지'],후드,루즈,발목,드레스,['무지'],루즈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1003884,스포티,"아우터, 원피스",6,노말,블랙,짚업,['지퍼'],긴팔,['무지'],후드,루즈,발목,드레스,['무지'],루즈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1003885,스포티,"아우터, 원피스",6,노말,블랙,짚업,['지퍼'],긴팔,['무지'],후드,루즈,발목,드레스,['무지'],루즈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1003886,스포티,"아우터, 원피스",6,노말,블랙,짚업,['지퍼'],긴팔,['무지'],후드,루즈,발목,드레스,['무지'],루즈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1003887,스포티,"아우터, 원피스",6,노말,블랙,짚업,['지퍼'],긴팔,['무지'],후드,루즈,발목,드레스,['무지'],루즈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1003888,스포티,"아우터, 원피스",6,노말,블랙,짚업,['지퍼'],긴팔,['무지'],후드,루즈,발목,드레스,['무지'],루즈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1003889,스포티,"아우터, 원피스",6,노말,블랙,짚업,['지퍼'],긴팔,['무지'],후드,루즈,발목,드레스,['무지'],루즈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1003892,스포티,"아우터, 원피스",6,노말,블랙,짚업,['지퍼'],긴팔,['무지'],후드,루즈,발목,드레스,['무지'],루즈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1003893,스포티,"아우터, 원피스",6,노말,블랙,짚업,['지퍼'],긴팔,['무지'],후드,루즈,발목,드레스,['무지'],루즈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1003894,스포티,"아우터, 원피스",6,노말,블랙,짚업,['지퍼'],긴팔,['무지'],후드,루즈,발목,드레스,['무지'],루즈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1003895,스포티,"아우터, 원피스",6,노말,블랙,짚업,['지퍼'],긴팔,['무지'],후드,루즈,발목,드레스,['무지'],루즈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1003896,스포티,"아우터, 원피스",6,노말,블랙,짚업,['지퍼'],긴팔,['무지'],후드,루즈,발목,드레스,['무지'],루즈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1003897,스포티,"아우터, 원피스",6,노말,블랙,짚업,['지퍼'],긴팔,['무지'],후드,루즈,발목,드레스,['무지'],루즈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1003898,스포티,"아우터, 원피스",6,노말,블랙,짚업,['지퍼'],긴팔,['무지'],후드,루즈,발목,드레스,['무지'],루즈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1003899,스포티,"아우터, 원피스",6,노말,블랙,짚업,['지퍼'],긴팔,['무지'],후드,루즈,발목,드레스,['무지'],루즈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1003902,스포티,"아우터, 원피스",6,노말,블랙,짚업,['지퍼'],긴팔,['무지'],후드,루즈,발목,드레스,['무지'],루즈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1004012,스포티,"하의, 상의",3,,,,,,,,,,,,,,,발목,베이지,래깅스,['무지'],스키니,노멀,핑크,티셔츠,['드롭숄더'],긴팔,['저지'],['무지'],라운드넥,루즈,,,,,,,,,,,,,
32,1004013,스포티,"하의, 상의",3,,,,,,,,,,,,,,,발목,베이지,래깅스,['무지'],스키니,노멀,핑크,티셔츠,['드롭숄더'],긴팔,['저지'],['무지'],라운드넥,루즈,,,,,,,,,,,,,
