,ID,style,clothing_categories,mix_clothing_categories,하의_기장,하의_색상,하의_서브색상,하의_카테고리,하의_디테일,하의_소재,하의_프린트,하의_핏,상의_기장,상의_색상,상의_카테고리,상의_디테일,상의_소매기장,상의_소재,상의_프린트,상의_넥라인,상의_핏,상의_서브색상,상의_옷깃,아우터_기장,아우터_색상,아우터_카테고리,아우터_디테일,아우터_소매기장,아우터_소재,아우터_프린트,아우터_핏,아우터_옷깃,아우터_서브색상,아우터_넥라인,원피스_기장,원피스_색상,원피스_카테고리,원피스_디테일,원피스_소매기장,원피스_소재,원피스_프린트,원피스_넥라인,원피스_핏,원피스_서브색상,원피스_옷깃
0,1010145,아방가르드,"하의, 상의",3,미디,화이트,퍼플,스커트,"['러플', '셔링']",['실크'],['스트라이프'],노멀,노멀,화이트,블라우스,"['레이스', '퍼프']",반팔,"['우븐', '레이스']",['무지'],라운드넥,노멀,,,,,,,,,,,,,,,,,,,,,,,,
1,1010146,아방가르드,"하의, 상의",3,미디,화이트,퍼플,스커트,"['러플', '셔링']",['실크'],['스트라이프'],노멀,노멀,화이트,블라우스,"['레이스', '퍼프']",반팔,"['우븐', '레이스']",['무지'],라운드넥,노멀,,,,,,,,,,,,,,,,,,,,,,,,
2,1010149,아방가르드,"하의, 상의",3,미디,화이트,퍼플,스커트,"['러플', '셔링']",['실크'],['스트라이프'],노멀,노멀,화이트,블라우스,"['레이스', '퍼프']",반팔,"['우븐', '레이스']",['무지'],라운드넥,노멀,,,,,,,,,,,,,,,,,,,,,,,,
3,1012250,아방가르드,"하의, 상의",3,발목,네이비,,청바지,,['데님'],['무지'],노멀,롱,레드,셔츠,"['띠', '단추', '버클', '비대칭']",긴팔,['우븐'],['스트라이프'],브이넥,노멀,화이트,셔츠칼라,,,,,,,,,,,,,,,,,,,,,,
4,1012251,아방가르드,"하의, 상의",3,발목,네이비,,청바지,,['데님'],['무지'],노멀,롱,레드,셔츠,['띠'],긴팔,['우븐'],['스트라이프'],브이넥,노멀,화이트,셔츠칼라,,,,,,,,,,,,,,,,,,,,,,
5,1012252,아방가르드,"하의, 상의",3,발목,네이비,,청바지,,['데님'],['무지'],노멀,롱,레드,셔츠,['띠'],긴팔,['우븐'],['스트라이프'],브이넥,노멀,화이트,셔츠칼라,,,,,,,,,,,,,,,,,,,,,,
6,1012253,아방가르드,"하의, 상의",3,발목,네이비,,청바지,,['데님'],['무지'],노멀,롱,레드,셔츠,"['단추', '띠']",긴팔,['우븐'],['스트라이프'],브이넥,노멀,화이트,셔츠칼라,,,,,,,,,,,,,,,,,,,,,,
7,1012254,아방가르드,"하의, 상의",3,발목,네이비,,청바지,,['데님'],['무지'],노멀,롱,레드,셔츠,"['단추', '띠', '비대칭']",긴팔,['우븐'],['스트라이프'],브이넥,노멀,화이트,셔츠칼라,,,,,,,,,,,,,,,,,,,,,,
8,1012255,아방가르드,"하의, 상의",3,발목,네이비,,청바지,,['데님'],['무지'],노멀,롱,레드,셔츠,"['단추', '띠']",긴팔,['우븐'],['스트라이프'],브이넥,노멀,화이트,셔츠칼라,,,,,,,,,,,,,,,,,,,,,,
9,1012256,아방가르드,"하의, 상의",3,발목,네이비,,청바지,,['데님'],['무지'],노멀,롱,레드,셔츠,"['단추', '띠', '버클']",긴팔,['우븐'],['스트라이프'],브이넥,노멀,화이트,셔츠칼라,,,,,,,,,,,,,,,,,,,,,,
10,1012257,아방가르드,"하의, 상의",3,발목,네이비,,청바지,,['데님'],['무지'],노멀,롱,레드,셔츠,"['단추', '띠']",긴팔,['우븐'],['스트라이프'],브이넥,노멀,화이트,셔츠칼라,,,,,,,,,,,,,,,,,,,,,,
11,1012267,아방가르드,"하의, 상의",3,발목,네이비,,청바지,,['데님'],['무지'],노멀,롱,레드,셔츠,['단추'],긴팔,['우븐'],['스트라이프'],브이넥,노멀,화이트,셔츠칼라,,,,,,,,,,,,,,,,,,,,,,
12,1012270,아방가르드,"하의, 상의",3,발목,네이비,,청바지,,['데님'],['무지'],노멀,롱,레드,셔츠,['단추'],긴팔,['우븐'],['스트라이프'],브이넥,노멀,화이트,셔츠칼라,,,,,,,,,,,,,,,,,,,,,,
