,ID,style,clothing_categories,mix_clothing_categories,아우터_기장,아우터_색상,아우터_카테고리,아우터_디테일,아우터_소매기장,아우터_소재,아우터_프린트,아우터_넥라인,아우터_핏,하의_기장,하의_색상,하의_카테고리,하의_디테일,하의_소재,하의_프린트,하의_핏,아우터_옷깃,원피스_기장,원피스_카테고리,원피스_소재,원피스_프린트,원피스_넥라인,원피스_핏,상의_기장,상의_색상,상의_카테고리,상의_옷깃,상의_디테일,상의_소매기장,상의_소재,상의_프린트,상의_넥라인,상의_핏,상의_서브색상,아우터_서브색상,하의_서브색상,원피스_색상,원피스_서브색상,원피스_소매기장,원피스_옷깃,원피스_디테일
0,1029979,오리엔탈,"아우터, 하의",4,노말,실버,재킷,"['포켓', '지퍼']",7부소매,['우븐'],['무지'],노카라,루즈,발목,블루,청바지,"['스티치', '포켓']",['데님'],['무지'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,
1,1029982,오리엔탈,"아우터, 하의",4,노말,실버,재킷,['포켓'],7부소매,['우븐'],['무지'],,루즈,발목,블루,청바지,['스티치'],['데님'],['무지'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,
2,1029985,오리엔탈,"아우터, 하의",4,노말,실버,재킷,"['포켓', '단추']",7부소매,['우븐'],['무지'],,루즈,발목,,청바지,['스티치'],['데님'],['무지'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,
3,1029988,오리엔탈,"아우터, 하의",4,노말,실버,재킷,"['포켓', '지퍼']",7부소매,['우븐'],['무지'],노카라,루즈,발목,블루,청바지,"['스티치', '포켓']",['데님'],['무지'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,
4,1029989,오리엔탈,"아우터, 하의",4,노말,실버,재킷,"['포켓', '지퍼']",7부소매,['우븐'],['무지'],노카라,루즈,발목,블루,청바지,"['스티치', '포켓']",['데님'],['무지'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,
5,1029992,오리엔탈,"아우터, 하의",4,노말,실버,재킷,"['롤업', '지퍼']",7부소매,['우븐'],['무지'],라운드넥,루즈,발목,화이트,팬츠,['단추'],['우븐'],['무지'],노멀,차이나칼라,,,,,,,,,,,,,,,,,,,,,,,,
6,1029993,오리엔탈,"아우터, 하의",4,노말,실버,재킷,"['롤업', '지퍼']",7부소매,['우븐'],['무지'],라운드넥,루즈,발목,화이트,팬츠,['단추'],['우븐'],['무지'],노멀,차이나칼라,,,,,,,,,,,,,,,,,,,,,,,,
7,1029994,오리엔탈,"아우터, 하의",4,노말,실버,재킷,,7부소매,['우븐'],['무지'],,루즈,발목,화이트,팬츠,,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,
8,1034436,오리엔탈,"아우터, 원피스",6,노말,화이트,재킷,,긴팔,['린넨'],['무지'],,노멀,,,,,,,,테일러드칼라,미니,드레스,['우븐'],['페이즐리'],브이넥,노멀,,,,,,,,,,,,,,,,,,
9,1034437,오리엔탈,"아우터, 원피스",6,노말,화이트,재킷,,긴팔,['린넨'],['무지'],,노멀,,,,,,,,테일러드칼라,미니,드레스,['우븐'],['페이즐리'],브이넥,노멀,,,,,,,,,,,,,,,,,,
10,1034440,오리엔탈,"아우터, 원피스",6,노말,화이트,재킷,,긴팔,['린넨'],['무지'],,노멀,,,,,,,,테일러드칼라,미니,드레스,['우븐'],['페이즐리'],브이넥,노멀,,,,,,,,,,,,,,,,,,
11,1034441,오리엔탈,"아우터, 원피스",6,노말,화이트,재킷,,긴팔,['린넨'],['무지'],,노멀,,,,,,,,테일러드칼라,미니,드레스,['우븐'],['페이즐리'],브이넥,노멀,,,,,,,,,,,,,,,,,,
12,1038979,오리엔탈,"하의, 상의",3,,,,,,,,,,발목,화이트,팬츠,,['우븐'],['무지'],와이드,,,,,,,,롱,퍼플,블라우스,밴드칼라,"['퍼프', '셔링']",7부소매,['우븐'],['무지'],라운드넥,루즈,,,,,,,,
13,1038980,오리엔탈,"하의, 상의",3,,,,,,,,,,발목,화이트,팬츠,,['우븐'],['무지'],와이드,,,,,,,,롱,퍼플,블라우스,밴드칼라,"['퍼프', '셔링']",7부소매,['우븐'],['무지'],라운드넥,루즈,,,,,,,,
14,1038982,오리엔탈,"하의, 상의",3,,,,,,,,,,발목,화이트,팬츠,,['우븐'],['무지'],와이드,,,,,,,,롱,퍼플,블라우스,밴드칼라,"['퍼프', '셔링']",7부소매,['우븐'],['무지'],라운드넥,루즈,,,,,,,,
15,1038983,오리엔탈,"하의, 상의",3,,,,,,,,,,발목,화이트,팬츠,,['우븐'],['무지'],와이드,,,,,,,,롱,퍼플,블라우스,밴드칼라,"['퍼프', '셔링']",7부소매,['우븐'],['무지'],라운드넥,루즈,,,,,,,,
16,1038984,오리엔탈,"하의, 상의",3,,,,,,,,,,발목,화이트,팬츠,,['우븐'],['무지'],와이드,,,,,,,,롱,퍼플,블라우스,밴드칼라,"['퍼프', '셔링']",7부소매,['우븐'],['무지'],라운드넥,루즈,,,,,,,,
17,1038988,오리엔탈,"하의, 상의",3,,,,,,,,,,발목,화이트,팬츠,,['우븐'],['무지'],와이드,,,,,,,,롱,퍼플,블라우스,밴드칼라,"['퍼프', '셔링']",7부소매,['우븐'],['무지'],라운드넥,루즈,,,,,,,,
18,1041988,오리엔탈,"하의, 상의",3,,,,,,,,,,발목,블랙,팬츠,,['우븐'],['무지'],노멀,,,,,,,,노멀,베이지,블라우스,,,7부소매,['실크'],['그래픽'],라운드넥,노멀,블랙,,,,,,,
19,1041990,오리엔탈,"하의, 상의",3,,,,,,,,,,발목,블랙,팬츠,,['우븐'],['무지'],노멀,,,,,,,,노멀,베이지,블라우스,,,7부소매,['실크'],['그래픽'],라운드넥,노멀,블랙,,,,,,,
20,1041993,오리엔탈,"하의, 상의",3,,,,,,,,,,발목,블랙,팬츠,,['우븐'],['무지'],노멀,,,,,,,,노멀,베이지,블라우스,,,7부소매,['실크'],['그래픽'],라운드넥,노멀,블랙,,,,,,,
21,1045791,오리엔탈,"아우터, 상의",2,,화이트,,,반팔,,,,,,,,,,,,,,,,,,,롱,,니트웨어,,"['프린지', '띠']",,['울/캐시미어'],['스트라이프'],브이넥,노멀,,핑크,,,,,,
22,1045792,오리엔탈,"아우터, 상의",2,,화이트,,,반팔,,,,,,,,,,,,,,,,,,,롱,,니트웨어,,"['프린지', '띠']",,['울/캐시미어'],['스트라이프'],브이넥,노멀,,핑크,,,,,,
23,1045793,오리엔탈,"아우터, 상의",2,,화이트,,,반팔,,,,,,,,,,,,,,,,,,,롱,,니트웨어,,"['프린지', '띠']",,['울/캐시미어'],['스트라이프'],브이넥,노멀,,핑크,,,,,,
