,ID,style,clothing_categories,mix_clothing_categories,하의_기장,하의_색상,하의_카테고리,하의_소재,하의_프린트,하의_핏,상의_기장,상의_색상,상의_카테고리,상의_디테일,상의_소매기장,상의_소재,상의_프린트,상의_넥라인,상의_핏,아우터_기장,아우터_색상,아우터_카테고리,아우터_옷깃,아우터_디테일,아우터_소매기장,아우터_소재,아우터_프린트,아우터_핏,하의_디테일,아우터_넥라인,상의_서브색상,아우터_서브색상,원피스_기장,원피스_색상,원피스_서브색상,원피스_카테고리,원피스_디테일,원피스_소매기장,원피스_소재,원피스_프린트,원피스_넥라인,원피스_핏,상의_옷깃,하의_서브색상,원피스_옷깃
0,1001317,웨스턴,"하의, 상의",3,발목,블루,청바지,['데님'],['무지'],스키니,노멀,화이트,블라우스,"['플리츠', '레이스', '셔링', '프릴']",7부소매,['우븐'],['무지'],라운드넥,루즈,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1001318,웨스턴,"하의, 상의",3,발목,블루,청바지,['데님'],['무지'],스키니,노멀,화이트,블라우스,"['플리츠', '레이스', '셔링', '프릴']",7부소매,['우븐'],['무지'],라운드넥,루즈,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1001319,웨스턴,"하의, 상의",3,,블루,청바지,['데님'],['무지'],스키니,노멀,화이트,블라우스,"['레이스', '셔링']",7부소매,['우븐'],['무지'],,루즈,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1001320,웨스턴,"하의, 상의",3,,블루,청바지,['데님'],['무지'],스키니,롱,화이트,블라우스,"['레이스', '셔링']",7부소매,['우븐'],['무지'],,루즈,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1001327,웨스턴,"하의, 상의",3,발목,블루,청바지,['데님'],['무지'],스키니,노멀,화이트,블라우스,"['플리츠', '레이스', '셔링', '프릴']",7부소매,['우븐'],['무지'],라운드넥,루즈,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1001328,웨스턴,"하의, 상의",3,,블루,청바지,['데님'],['무지'],스키니,노멀,화이트,블라우스,"['플리츠', '레이스', '셔링']",7부소매,['우븐'],['무지'],라운드넥,루즈,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1001331,웨스턴,"하의, 상의",3,,블루,청바지,['데님'],['무지'],스키니,롱,화이트,블라우스,"['레이스', '셔링']",7부소매,['우븐'],['무지'],,루즈,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1001332,웨스턴,"하의, 상의",3,발목,블루,청바지,['데님'],['무지'],스키니,노멀,화이트,블라우스,"['플리츠', '레이스', '셔링', '프릴']",7부소매,['우븐'],['무지'],라운드넥,루즈,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1033533,웨스턴,"아우터, 하의",4,발목,,청바지,['데님'],['무지'],노멀,,,,,,,,,,롱,베이지,코트,테일러드칼라,['띠'],긴팔,['우븐'],['무지'],노멀,"['단추', '포켓']",,,,,,,,,,,,,,,,
9,1033591,웨스턴,"아우터, 하의",4,,블루,,,,,,,,,,,,,,롱,블랙,코트,,,긴팔,['우븐'],['무지'],루즈,,후드,,,,,,,,,,,,,,,
10,1039037,웨스턴,"하의, 상의",3,발목,스카이블루,청바지,['데님'],['무지'],스키니,노멀,브라운,탑,"['셔링', '띠', '태슬', '자수']",7부소매,['우븐'],['무지'],라운드넥,오버사이즈,,,,,,,,,,,,네이비,,,,,,,,,,,,,,
11,1039038,웨스턴,"하의, 상의",3,발목,스카이블루,청바지,['데님'],['무지'],스키니,노멀,브라운,탑,"['셔링', '띠', '태슬', '자수']",반팔,['우븐'],['무지'],라운드넥,오버사이즈,,,,,,,,,,,,네이비,,,,,,,,,,,,,,
12,1039039,웨스턴,"하의, 상의",3,발목,스카이블루,청바지,['데님'],['무지'],스키니,노멀,브라운,탑,"['셔링', '띠', '태슬', '자수']",반팔,['우븐'],['무지'],라운드넥,오버사이즈,,,,,,,,,,,,네이비,,,,,,,,,,,,,,
13,1039040,웨스턴,"하의, 상의",3,발목,스카이블루,청바지,['데님'],['무지'],스키니,노멀,브라운,탑,"['셔링', '띠', '태슬', '자수']",반팔,['우븐'],['무지'],라운드넥,오버사이즈,,,,,,,,,,,,네이비,,,,,,,,,,,,,,
14,1039044,웨스턴,"하의, 상의",3,발목,스카이블루,청바지,['데님'],['무지'],스키니,노멀,브라운,탑,"['셔링', '띠', '태슬', '자수']",반팔,['우븐'],['무지'],라운드넥,오버사이즈,,,,,,,,,,,,블랙,,,,,,,,,,,,,,
15,1039179,웨스턴,"하의, 상의",3,발목,화이트,팬츠,['우븐'],['무지'],루즈,롱,블랙,블라우스,['띠'],7부소매,['시폰'],['페이즐리'],라운드넥,루즈,,,,,,,,,,,,화이트,,,,,,,,,,,,,,
16,1039180,웨스턴,"하의, 상의",3,발목,화이트,팬츠,['우븐'],['무지'],루즈,롱,블랙,블라우스,['띠'],7부소매,['시폰'],['페이즐리'],라운드넥,루즈,,,,,,,,,,,,화이트,,,,,,,,,,,,,,
