,ID,style,clothing_categories,mix_clothing_categories,아우터_색상,아우터_카테고리,아우터_소매기장,아우터_소재,아우터_프린트,하의_기장,하의_색상,하의_카테고리,하의_소재,하의_프린트,하의_핏,아우터_기장,아우터_옷깃,아우터_디테일,아우터_핏,하의_디테일,상의_색상,상의_카테고리,상의_소매기장,상의_소재,상의_프린트,상의_넥라인,상의_핏,상의_서브색상,아우터_넥라인,아우터_서브색상,상의_기장,상의_디테일,하의_서브색상,상의_옷깃,원피스_색상,원피스_소매기장,원피스_기장,원피스_카테고리,원피스_소재,원피스_프린트,원피스_넥라인,원피스_서브색상,원피스_디테일,원피스_핏,원피스_옷깃
0,1004312,젠더리스,"아우터, 하의",4,베이지,가디건,긴팔,['니트'],['무지'],발목,블랙,팬츠,['울/캐시미어'],['무지'],와이드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1004313,젠더리스,"아우터, 하의",4,베이지,가디건,긴팔,['니트'],['무지'],발목,블랙,팬츠,['울/캐시미어'],['무지'],와이드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1004314,젠더리스,"아우터, 하의",4,베이지,가디건,긴팔,['니트'],['무지'],발목,블랙,팬츠,['울/캐시미어'],['무지'],와이드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1006589,젠더리스,"아우터, 하의",4,라벤더,재킷,긴팔,['우븐'],['무지'],발목,카키,팬츠,['우븐'],['무지'],노멀,노말,테일러드칼라,['포켓'],노멀,['포켓'],,,,,,,,,,,,,,,,,,,,,,,,,
4,1006590,젠더리스,"아우터, 하의",4,라벤더,재킷,긴팔,['우븐'],['무지'],발목,카키,팬츠,['우븐'],['무지'],노멀,노말,테일러드칼라,['포켓'],노멀,['포켓'],,,,,,,,,,,,,,,,,,,,,,,,,
5,1006591,젠더리스,"아우터, 하의",4,라벤더,재킷,긴팔,['우븐'],['무지'],발목,카키,팬츠,['우븐'],['무지'],노멀,노말,테일러드칼라,['포켓'],노멀,['포켓'],,,,,,,,,,,,,,,,,,,,,,,,,
6,1006594,젠더리스,"아우터, 하의",4,라벤더,재킷,긴팔,['우븐'],['무지'],발목,카키,팬츠,['우븐'],['무지'],노멀,노말,테일러드칼라,['포켓'],노멀,['포켓'],,,,,,,,,,,,,,,,,,,,,,,,,
7,1006595,젠더리스,"하의, 상의",3,,,,,,발목,카키,팬츠,['우븐'],['무지'],노멀,,,,,['포켓'],베이지,티셔츠,긴팔,['저지'],['무지'],브이넥,루즈,,,,,,,,,,,,,,,,,,
8,1006596,젠더리스,"하의, 상의",3,,,,,,발목,카키,팬츠,['우븐'],['무지'],노멀,,,,,['포켓'],베이지,티셔츠,긴팔,['저지'],['무지'],브이넥,루즈,,,,,,,,,,,,,,,,,,
9,1006597,젠더리스,"하의, 상의",3,,,,,,발목,카키,팬츠,['우븐'],['무지'],노멀,,,,,['포켓'],베이지,티셔츠,긴팔,['저지'],['무지'],브이넥,루즈,,,,,,,,,,,,,,,,,,
10,1006598,젠더리스,"하의, 상의",3,,,,,,발목,카키,팬츠,['우븐'],['무지'],노멀,,,,,['포켓'],베이지,티셔츠,긴팔,['저지'],['무지'],브이넥,루즈,,,,,,,,,,,,,,,,,,
11,1006599,젠더리스,"하의, 상의",3,,,,,,발목,카키,팬츠,['우븐'],['무지'],노멀,,,,,['포켓'],베이지,티셔츠,긴팔,['저지'],['무지'],브이넥,루즈,,,,,,,,,,,,,,,,,,
12,1006600,젠더리스,"하의, 상의",3,,,,,,발목,카키,팬츠,['우븐'],['무지'],노멀,,,,,['포켓'],베이지,티셔츠,긴팔,['저지'],['무지'],브이넥,루즈,,,,,,,,,,,,,,,,,,
13,1006601,젠더리스,"하의, 상의",3,,,,,,발목,카키,팬츠,['우븐'],['무지'],노멀,,,,,['포켓'],베이지,티셔츠,긴팔,['저지'],['무지'],브이넥,루즈,,,,,,,,,,,,,,,,,,
