,ID,style,clothing_categories,mix_clothing_categories,하의_기장,하의_색상,하의_카테고리,하의_소재,하의_프린트,하의_핏,상의_기장,상의_색상,상의_서브색상,상의_카테고리,상의_옷깃,상의_디테일,상의_소매기장,상의_소재,상의_프린트,상의_핏,상의_넥라인,아우터_기장,아우터_카테고리,아우터_디테일,아우터_소재,아우터_넥라인,아우터_핏,아우터_프린트,하의_디테일,하의_서브색상,원피스_기장,원피스_색상,원피스_카테고리,원피스_디테일,원피스_소매기장,원피스_소재,원피스_프린트,원피스_핏,아우터_색상,아우터_소매기장,아우터_서브색상,원피스_넥라인,아우터_옷깃,원피스_서브색상,원피스_옷깃
0,1003173,컨트리,"하의, 상의",3,발목,핑크,팬츠,['우븐'],['무지'],와이드,노멀,와인,브라운,블라우스,셔츠칼라,['단추'],긴팔,['우븐'],['믹스'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,
1,1003177,컨트리,"하의, 상의",3,발목,핑크,팬츠,['우븐'],['무지'],와이드,노멀,와인,브라운,블라우스,셔츠칼라,['단추'],긴팔,['우븐'],['믹스'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,
2,1003178,컨트리,"하의, 상의",3,발목,핑크,팬츠,['우븐'],['무지'],와이드,노멀,와인,브라운,블라우스,셔츠칼라,['단추'],긴팔,['우븐'],['믹스'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,
3,1003179,컨트리,"하의, 상의",3,발목,핑크,팬츠,['우븐'],['무지'],와이드,노멀,와인,브라운,블라우스,셔츠칼라,['단추'],긴팔,['우븐'],['믹스'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,
4,1003180,컨트리,"하의, 상의",3,발목,핑크,팬츠,['우븐'],['무지'],와이드,노멀,와인,브라운,블라우스,셔츠칼라,['단추'],긴팔,['우븐'],['믹스'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,
5,1003181,컨트리,"하의, 상의",3,발목,핑크,팬츠,['우븐'],['무지'],와이드,노멀,와인,브라운,블라우스,셔츠칼라,['단추'],긴팔,['우븐'],['믹스'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,
6,1003182,컨트리,"하의, 상의",3,발목,핑크,팬츠,['우븐'],['무지'],와이드,노멀,와인,브라운,블라우스,셔츠칼라,['단추'],긴팔,['우븐'],['믹스'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,
7,1003183,컨트리,"하의, 상의",3,발목,핑크,팬츠,['우븐'],['무지'],와이드,노멀,와인,브라운,블라우스,,,긴팔,['우븐'],['믹스'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,
8,1003184,컨트리,"하의, 상의",3,발목,핑크,팬츠,['우븐'],['무지'],와이드,노멀,와인,브라운,블라우스,,,긴팔,['우븐'],['믹스'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,
9,1003187,컨트리,"하의, 상의",3,발목,핑크,팬츠,['우븐'],['무지'],와이드,노멀,와인,브라운,블라우스,셔츠칼라,['단추'],긴팔,['우븐'],['믹스'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,
10,1003190,컨트리,"하의, 상의",3,발목,핑크,팬츠,['우븐'],['무지'],와이드,노멀,와인,브라운,블라우스,셔츠칼라,['단추'],긴팔,['우븐'],['믹스'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,
11,1003191,컨트리,"하의, 상의",3,미디,베이지,스커트,['스웨이드'],['무지'],노멀,노멀,블랙,핑크,블라우스,,['단추'],긴팔,['우븐'],['체크'],노멀,스퀘어넥,,,,,,,,,,,,,,,,,,,,,,,,
12,1003192,컨트리,"하의, 상의",3,미디,베이지,스커트,['스웨이드'],['무지'],노멀,노멀,블랙,핑크,블라우스,,['단추'],긴팔,['우븐'],['체크'],노멀,스퀘어넥,,,,,,,,,,,,,,,,,,,,,,,,
13,1003193,컨트리,"하의, 상의",3,미디,베이지,스커트,['스웨이드'],['무지'],노멀,노멀,블랙,핑크,블라우스,,['단추'],긴팔,['우븐'],['체크'],노멀,스퀘어넥,,,,,,,,,,,,,,,,,,,,,,,,
14,1003194,컨트리,"하의, 상의",3,미디,베이지,스커트,['스웨이드'],['무지'],노멀,노멀,블랙,핑크,블라우스,,['단추'],긴팔,['우븐'],['체크'],노멀,스퀘어넥,,,,,,,,,,,,,,,,,,,,,,,,
15,1003197,컨트리,"하의, 상의",3,미디,베이지,스커트,['스웨이드'],['무지'],노멀,노멀,블랙,핑크,블라우스,,['단추'],긴팔,['우븐'],['체크'],노멀,스퀘어넥,,,,,,,,,,,,,,,,,,,,,,,,
16,1003198,컨트리,"하의, 상의",3,미디,베이지,스커트,['스웨이드'],['무지'],노멀,노멀,블랙,핑크,블라우스,,['단추'],긴팔,['우븐'],['체크'],노멀,스퀘어넥,,,,,,,,,,,,,,,,,,,,,,,,
17,1003199,컨트리,"하의, 상의",3,,베이지,,,,,노멀,블랙,핑크,블라우스,,['단추'],긴팔,['우븐'],['체크'],노멀,스퀘어넥,,,,,,,,,,,,,,,,,,,,,,,,
