,ID,style,clothing_categories,mix_clothing_categories,하의_기장,하의_색상,하의_서브색상,하의_카테고리,하의_소재,하의_프린트,하의_핏,상의_색상,상의_서브색상,상의_카테고리,상의_디테일,상의_소매기장,상의_소재,상의_프린트,상의_넥라인,상의_핏,하의_디테일,원피스_색상,원피스_서브색상,원피스_소매기장,상의_기장,아우터_기장,아우터_색상,아우터_서브색상,아우터_카테고리,아우터_디테일,아우터_소매기장,아우터_소재,아우터_프린트,아우터_넥라인,아우터_핏,아우터_옷깃,상의_옷깃,원피스_기장,원피스_카테고리,원피스_디테일,원피스_소재,원피스_프린트,원피스_넥라인,원피스_핏,원피스_옷깃
0,100198,키치,"하의, 상의",3,발목,블랙,화이트,팬츠,['우븐'],['도트'],와이드,블랙,화이트,블라우스,['띠'],반팔,['우븐'],['도트'],브이넥,노멀,,,,,,,,,,,,,,,,,,,,,,,,,
1,100199,키치,"하의, 상의",3,발목,블랙,화이트,팬츠,['우븐'],['도트'],와이드,블랙,화이트,블라우스,['띠'],반팔,['우븐'],['도트'],브이넥,노멀,,,,,,,,,,,,,,,,,,,,,,,,,
2,100200,키치,"하의, 상의",3,발목,블랙,화이트,팬츠,['우븐'],['도트'],와이드,블랙,화이트,블라우스,['띠'],반팔,['우븐'],['도트'],브이넥,노멀,,,,,,,,,,,,,,,,,,,,,,,,,
3,100201,키치,"하의, 상의",3,발목,블랙,화이트,팬츠,['우븐'],['도트'],와이드,블랙,화이트,블라우스,['띠'],반팔,['우븐'],['도트'],브이넥,노멀,,,,,,,,,,,,,,,,,,,,,,,,,
4,100205,키치,"하의, 상의",3,발목,블랙,화이트,팬츠,['우븐'],['도트'],와이드,블랙,화이트,블라우스,['띠'],반팔,['우븐'],['도트'],브이넥,노멀,,,,,,,,,,,,,,,,,,,,,,,,,
5,100208,키치,"하의, 상의",3,발목,블랙,화이트,팬츠,['우븐'],['도트'],와이드,블랙,화이트,블라우스,,반팔,['우븐'],['도트'],,,,,,,,,,,,,,,,,,,,,,,,,,,
6,100209,키치,"하의, 상의",3,발목,블랙,화이트,팬츠,['우븐'],['도트'],와이드,블랙,화이트,블라우스,['띠'],반팔,['우븐'],['도트'],브이넥,노멀,,,,,,,,,,,,,,,,,,,,,,,,,
7,100212,키치,"하의, 상의",3,발목,블랙,화이트,팬츠,['우븐'],['도트'],와이드,블랙,화이트,블라우스,['띠'],반팔,['우븐'],['도트'],브이넥,노멀,,,,,,,,,,,,,,,,,,,,,,,,,
8,100387,키치,"하의, 원피스",1,미디,,,스커트,['우븐'],['그래픽'],노멀,,,,,,,,,,"['리본', '플레어']",네이비,골드,민소매,,,,,,,,,,,,,,,,,,,,,
9,100467,키치,"하의, 상의",3,발목,네이비,옐로우,팬츠,['우븐'],['그래픽'],와이드,네이비,옐로우,탑,,민소매,['우븐'],['그래픽'],브이넥,노멀,,,,,노멀,,,,,,,,,,,,,,,,,,,,
10,100468,키치,"하의, 상의",3,발목,,,팬츠,['우븐'],['그래픽'],와이드,네이비,옐로우,탑,,민소매,['우븐'],['그래픽'],브이넥,노멀,,,,,,,,,,,,,,,,,,,,,,,,,
11,100470,키치,"하의, 상의",3,발목,블랙,옐로우,팬츠,['우븐'],['그래픽'],와이드,블랙,옐로우,탑,,민소매,['우븐'],['그래픽'],브이넥,노멀,,,,,노멀,,,,,,,,,,,,,,,,,,,,
12,100474,키치,"하의, 상의",3,발목,블랙,옐로우,팬츠,['우븐'],['그래픽'],와이드,블랙,옐로우,탑,,민소매,['우븐'],['그래픽'],브이넥,노멀,,,,,노멀,,,,,,,,,,,,,,,,,,,,
13,1033562,키치,"아우터, 하의",4,발목,블랙,실버,청바지,['데님'],['무지'],루즈,,,,,,,,,,['디스트로이드'],,,,,노말,블랙,화이트,점퍼,"['퀄팅', '단추', '포켓']",긴팔,['우븐'],['도트'],터틀넥,노멀,,,,,,,,,,
14,1033564,키치,"아우터, 하의",4,발목,블랙,,청바지,['데님'],['무지'],루즈,,,,,,,,,,['디스트로이드'],,,,,노말,블랙,화이트,점퍼,"['퀄팅', '단추', '포켓']",긴팔,['우븐'],['도트'],터틀넥,노멀,,,,,,,,,,
15,1033569,키치,"아우터, 하의",4,발목,블랙,,청바지,['데님'],['무지'],루즈,,,,,,,,,,['디스트로이드'],,,,,노말,블랙,화이트,점퍼,"['퀄팅', '단추', '포켓']",긴팔,['우븐'],['도트'],터틀넥,노멀,,,,,,,,,,
16,1033570,키치,"아우터, 하의",4,발목,블랙,,청바지,['데님'],['무지'],루즈,,,,,,,,,,['디스트로이드'],,,,,노말,블랙,화이트,점퍼,['퀄팅'],긴팔,['우븐'],['도트'],터틀넥,노멀,,,,,,,,,,
17,1033571,키치,"아우터, 하의",4,발목,블랙,실버,청바지,['데님'],['무지'],루즈,,,,,,,,,,['디스트로이드'],,,,,노말,블랙,화이트,점퍼,"['퀄팅', '단추', '포켓']",긴팔,['우븐'],['도트'],터틀넥,노멀,,,,,,,,,,
18,1033572,키치,"아우터, 하의",4,발목,블랙,실버,청바지,['데님'],['무지'],루즈,,,,,,,,,,['디스트로이드'],,,,,노말,블랙,화이트,점퍼,"['퀄팅', '단추', '포켓']",긴팔,['우븐'],['도트'],터틀넥,노멀,,,,,,,,,,
19,1034430,키치,"아우터, 하의, 상의",10,미니,블루,,스커트,['데님'],['무지'],노멀,,,티셔츠,,,['우븐'],"['레터링', '그래픽']",라운드넥,노멀,,,,,,노말,레드,,재킷,,긴팔,['린넨'],['무지'],,노멀,테일러드칼라,,,,,,,,,
20,1034431,키치,"아우터, 하의, 상의",10,미니,블루,,스커트,['데님'],['무지'],노멀,,,티셔츠,,,['우븐'],"['레터링', '그래픽']",라운드넥,노멀,,,,,,노말,레드,,재킷,,긴팔,['린넨'],['무지'],,노멀,테일러드칼라,,,,,,,,,
21,1034432,키치,"아우터, 하의, 상의",10,미니,블루,,스커트,['데님'],['무지'],노멀,,,티셔츠,,,['우븐'],"['레터링', '그래픽']",라운드넥,노멀,,,,,,노말,레드,,재킷,,긴팔,['린넨'],['무지'],,노멀,테일러드칼라,,,,,,,,,
22,1034433,키치,"아우터, 상의",2,,,,,,,,,,티셔츠,,,['우븐'],"['레터링', '그래픽']",라운드넥,노멀,,,,,,노말,레드,,재킷,,긴팔,['린넨'],['무지'],,노멀,테일러드칼라,,,,,,,,,
23,1034434,키치,"아우터, 하의, 상의",10,미니,블루,,스커트,['데님'],['무지'],노멀,,,티셔츠,,,['우븐'],"['레터링', '그래픽']",라운드넥,노멀,,,,,,노말,레드,,재킷,,긴팔,['린넨'],['무지'],,노멀,테일러드칼라,,,,,,,,,
24,1034435,키치,"아우터, 상의",2,,,,,,,,,,티셔츠,,,['우븐'],"['레터링', '그래픽']",라운드넥,노멀,,,,,,노말,레드,,재킷,,긴팔,['린넨'],['무지'],,노멀,테일러드칼라,,,,,,,,,
25,1038838,키치,"하의, 상의",3,발목,네이비,,청바지,['데님'],['무지'],루즈,화이트,레드,블라우스,['셔링'],7부소매,['우븐'],['하트'],,노멀,,,,,롱,,,,,,,,,,,,,,,,,,,,
26,1038841,키치,"하의, 상의",3,발목,네이비,,청바지,['데님'],['무지'],루즈,화이트,레드,블라우스,['셔링'],7부소매,['우븐'],['하트'],,노멀,,,,,롱,,,,,,,,,,,,,,,,,,,,
27,1038846,키치,"하의, 상의",3,발목,네이비,,청바지,['데님'],['무지'],루즈,화이트,레드,블라우스,['셔링'],7부소매,['우븐'],['하트'],,노멀,,,,,,,,,,,,,,,,,,,,,,,,,
28,1044644,키치,"하의, 상의",3,발목,네이비,,청바지,['데님'],['무지'],스키니,퍼플,,티셔츠,['드롭숄더'],긴팔,"['저지', '우븐']",['무지'],라운드넥,루즈,['디스트로이드'],,,,노멀,,,,,,,,,,,,,,,,,,,,
29,1044645,키치,"하의, 상의",3,발목,네이비,,청바지,['데님'],['무지'],스키니,화이트,,브라탑,['레이스'],민소매,"['저지', '레이스']",['무지'],유넥,타이트,['디스트로이드'],,,,롱,,,,,,,,,,,,,,,,,,,,
30,1044648,키치,"하의, 상의",3,발목,네이비,,청바지,['데님'],['무지'],스키니,화이트,,브라탑,['레이스'],민소매,"['저지', '레이스']",['무지'],유넥,타이트,['디스트로이드'],,,,롱,,,,,,,,,,,,,,,,,,,,
31,1044649,키치,"하의, 상의",3,발목,네이비,,청바지,['데님'],['무지'],스키니,퍼플,,티셔츠,['드롭숄더'],긴팔,"['저지', '우븐']",['무지'],라운드넥,루즈,['디스트로이드'],,,,노멀,,,,,,,,,,,,,,,,,,,,
32,1044650,키치,"하의, 상의",3,발목,네이비,,청바지,['데님'],['무지'],스키니,화이트,,브라탑,['레이스'],민소매,"['저지', '레이스']",['무지'],유넥,타이트,['디스트로이드'],,,,롱,,,,,,,,,,,,,,,,,,,,
33,1044651,키치,"하의, 상의",3,발목,네이비,,청바지,['데님'],['무지'],스키니,화이트,,브라탑,['레이스'],민소매,"['저지', '레이스']",['무지'],유넥,타이트,['디스트로이드'],,,,롱,,,,,,,,,,,,,,,,,,,,
34,1044652,키치,"하의, 상의",3,발목,네이비,,청바지,['데님'],['무지'],스키니,퍼플,,티셔츠,['드롭숄더'],긴팔,"['저지', '우븐']",['무지'],라운드넥,루즈,['디스트로이드'],,,,노멀,,,,,,,,,,,,,,,,,,,,
35,1044653,키치,"하의, 상의",3,발목,네이비,,청바지,['데님'],['무지'],스키니,화이트,,브라탑,['레이스'],민소매,"['저지', '레이스']",['무지'],유넥,타이트,['디스트로이드'],,,,롱,,,,,,,,,,,,,,,,,,,,
36,1044661,키치,"하의, 상의",3,발목,스카이블루,,청바지,['데님'],['무지'],스키니,핑크,,티셔츠,['드롭숄더'],긴팔,"['저지', '우븐']",['무지'],라운드넥,루즈,['디스트로이드'],,,,노멀,,,,,,,,,,,,,,,,,,,,
37,1044663,키치,"하의, 상의",3,발목,스카이블루,,청바지,['데님'],['무지'],스키니,핑크,,티셔츠,['드롭숄더'],긴팔,"['저지', '우븐']",['무지'],라운드넥,루즈,['디스트로이드'],,,,노멀,,,,,,,,,,,,,,,,,,,,
