,ID,style,clothing_categories,mix_clothing_categories,아우터_기장,아우터_색상,아우터_카테고리,아우터_옷깃,아우터_소매기장,아우터_소재,아우터_프린트,아우터_핏,하의_기장,하의_색상,하의_카테고리,하의_소재,하의_프린트,하의_핏,하의_디테일,아우터_서브색상,아우터_디테일,아우터_넥라인,상의_기장,상의_색상,상의_카테고리,상의_디테일,상의_소매기장,상의_소재,상의_넥라인,상의_핏,원피스_기장,원피스_색상,원피스_카테고리,원피스_디테일,원피스_소매기장,원피스_소재,원피스_프린트,원피스_핏,상의_프린트,상의_옷깃,상의_서브색상,하의_서브색상,원피스_넥라인,원피스_서브색상,원피스_옷깃
0,100240,톰보이,"아우터, 하의",4,노말,와인,재킷,테일러드칼라,긴팔,['우븐'],['무지'],노멀,미니,와인,팬츠,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,100255,톰보이,"아우터, 하의",4,노말,실버,재킷,테일러드칼라,긴팔,['우븐'],['무지'],노멀,니렝스,실버,팬츠,['우븐'],['무지'],와이드,"['버클', '띠', '스티치']",,,,,,,,,,,,,,,,,,,,,,,,,,
2,1004342,톰보이,"아우터, 하의",4,하프,베이지,베스트,,캡,['니트'],,루즈,발목,카키,팬츠,['우븐'],['무지'],노멀,,블랙,['니트꽈베기'],브이넥,,,,,,,,,,,,,,,,,,,,,,,
3,1004343,톰보이,"아우터, 하의",4,하프,베이지,베스트,,캡,['니트'],,루즈,발목,카키,팬츠,['우븐'],['무지'],노멀,,블랙,['니트꽈베기'],브이넥,,,,,,,,,,,,,,,,,,,,,,,
4,1004344,톰보이,"아우터, 하의",4,하프,베이지,베스트,,캡,['니트'],,루즈,발목,카키,팬츠,['우븐'],['무지'],노멀,,블랙,['니트꽈베기'],브이넥,,,,,,,,,,,,,,,,,,,,,,,
5,1004345,톰보이,"아우터, 하의",4,하프,베이지,베스트,,캡,['니트'],,루즈,발목,카키,팬츠,['우븐'],['무지'],노멀,,블랙,['니트꽈베기'],브이넥,,,,,,,,,,,,,,,,,,,,,,,
6,1004347,톰보이,"아우터, 하의",4,하프,베이지,베스트,,캡,['니트'],,루즈,발목,카키,팬츠,['우븐'],['무지'],노멀,,블랙,['니트꽈베기'],브이넥,,,,,,,,,,,,,,,,,,,,,,,
7,1004348,톰보이,"아우터, 하의",4,하프,베이지,베스트,,캡,['니트'],,루즈,발목,카키,팬츠,['우븐'],['무지'],노멀,,블랙,['니트꽈베기'],브이넥,,,,,,,,,,,,,,,,,,,,,,,
8,1004349,톰보이,"아우터, 하의",4,하프,베이지,베스트,,캡,['니트'],,루즈,발목,카키,팬츠,['우븐'],['무지'],노멀,,블랙,['니트꽈베기'],브이넥,,,,,,,,,,,,,,,,,,,,,,,
9,1004352,톰보이,"아우터, 하의",4,하프,베이지,베스트,,캡,['니트'],,루즈,발목,카키,팬츠,['우븐'],['무지'],노멀,,블랙,['니트꽈베기'],브이넥,,,,,,,,,,,,,,,,,,,,,,,
10,1004353,톰보이,"아우터, 하의",4,하프,베이지,베스트,,캡,['니트'],,루즈,발목,카키,팬츠,['우븐'],['무지'],노멀,,블랙,['니트꽈베기'],브이넥,,,,,,,,,,,,,,,,,,,,,,,
11,1004357,톰보이,"아우터, 하의",4,하프,베이지,베스트,,캡,['니트'],,루즈,발목,카키,팬츠,['우븐'],['무지'],노멀,,블랙,['니트꽈베기'],브이넥,,,,,,,,,,,,,,,,,,,,,,,
12,1004358,톰보이,"아우터, 하의",4,하프,베이지,베스트,,캡,['니트'],,루즈,발목,카키,팬츠,['우븐'],['무지'],노멀,,블랙,['니트꽈베기'],브이넥,,,,,,,,,,,,,,,,,,,,,,,
13,1004359,톰보이,"아우터, 하의",4,하프,베이지,베스트,,캡,['니트'],,루즈,발목,카키,팬츠,['우븐'],['무지'],노멀,,블랙,['니트꽈베기'],브이넥,,,,,,,,,,,,,,,,,,,,,,,
14,1004615,톰보이,"하의, 상의",3,,,,,,,,,미니,블랙,팬츠,['우븐'],['무지'],노멀,,,,,노멀,그레이,니트웨어,['니트꽈베기'],긴팔,['니트'],라운드넥,노멀,,,,,,,,,,,,,,,
15,1004616,톰보이,"하의, 상의",3,,,,,,,,,미니,블랙,팬츠,['우븐'],['무지'],노멀,,,,,노멀,그레이,니트웨어,['니트꽈베기'],긴팔,['니트'],라운드넥,노멀,,,,,,,,,,,,,,,
16,1004623,톰보이,"하의, 상의",3,,,,,,,,,미니,블랙,팬츠,['우븐'],['무지'],노멀,,,,,노멀,,니트웨어,['니트꽈베기'],,['니트'],라운드넥,노멀,,,,,,,,,,,,,,,
17,1004624,톰보이,"하의, 상의",3,,,,,,,,,미니,블랙,팬츠,['우븐'],['무지'],노멀,,,,,노멀,그레이,니트웨어,['니트꽈베기'],긴팔,['니트'],라운드넥,노멀,,,,,,,,,,,,,,,
18,1004625,톰보이,"하의, 상의",3,,,,,,,,,미니,블랙,팬츠,['우븐'],['무지'],노멀,,,,,노멀,그레이,니트웨어,['니트꽈베기'],긴팔,['니트'],라운드넥,노멀,,,,,,,,,,,,,,,
19,1004626,톰보이,"하의, 상의",3,,,,,,,,,미니,블랙,팬츠,['우븐'],['무지'],노멀,,,,,노멀,그레이,니트웨어,['니트꽈베기'],긴팔,['니트'],라운드넥,노멀,,,,,,,,,,,,,,,
20,1004627,톰보이,"하의, 상의",3,,,,,,,,,미니,블랙,팬츠,['우븐'],['무지'],노멀,,,,,노멀,그레이,니트웨어,['니트꽈베기'],긴팔,['니트'],라운드넥,노멀,,,,,,,,,,,,,,,
21,1004630,톰보이,"하의, 상의",3,,,,,,,,,미니,블랙,팬츠,['우븐'],['무지'],노멀,,,,,노멀,그레이,니트웨어,['니트꽈베기'],긴팔,['니트'],라운드넥,노멀,,,,,,,,,,,,,,,
22,1004631,톰보이,"하의, 상의",3,,,,,,,,,미니,블랙,팬츠,['우븐'],['무지'],노멀,,,,,노멀,그레이,니트웨어,['니트꽈베기'],긴팔,['니트'],라운드넥,노멀,,,,,,,,,,,,,,,
23,1004632,톰보이,"하의, 상의",3,,,,,,,,,미니,블랙,팬츠,['우븐'],['무지'],노멀,,,,,노멀,그레이,니트웨어,['니트꽈베기'],긴팔,['니트'],라운드넥,노멀,,,,,,,,,,,,,,,
24,1004633,톰보이,"하의, 상의",3,,,,,,,,,미니,블랙,팬츠,['우븐'],['무지'],노멀,,,,,노멀,그레이,니트웨어,['니트꽈베기'],긴팔,['니트'],라운드넥,노멀,,,,,,,,,,,,,,,
25,1004634,톰보이,"하의, 상의",3,,,,,,,,,미니,블랙,팬츠,['우븐'],['무지'],노멀,,,,,노멀,그레이,니트웨어,['니트꽈베기'],긴팔,['니트'],라운드넥,노멀,,,,,,,,,,,,,,,
26,1004635,톰보이,"하의, 상의",3,,,,,,,,,미니,블랙,팬츠,['우븐'],['무지'],노멀,,,,,노멀,그레이,니트웨어,['니트꽈베기'],긴팔,['니트'],라운드넥,노멀,,,,,,,,,,,,,,,
27,1004636,톰보이,"하의, 상의",3,,,,,,,,,미니,블랙,팬츠,['우븐'],['무지'],노멀,,,,,노멀,그레이,니트웨어,['니트꽈베기'],긴팔,['니트'],라운드넥,노멀,,,,,,,,,,,,,,,
