,ID,style,clothing_categories,mix_clothing_categories,아우터_기장,아우터_색상,아우터_카테고리,아우터_옷깃,아우터_디테일,아우터_소매기장,아우터_소재,아우터_프린트,아우터_넥라인,아우터_핏,하의_기장,하의_색상,하의_카테고리,하의_소재,하의_프린트,하의_핏,상의_색상,상의_소매기장,아우터_서브색상,원피스_기장,원피스_카테고리,원피스_디테일,원피스_소재,원피스_프린트,원피스_넥라인,원피스_핏,원피스_색상,원피스_서브색상,원피스_소매기장,상의_카테고리,상의_소재,상의_프린트,상의_넥라인,상의_핏,하의_디테일,하의_서브색상,상의_기장,상의_서브색상,상의_디테일
0,1029645,펑크,"아우터, 하의, 상의",10,노말,블루,재킷,셔츠칼라,"['단추', '디스트로이드', '포켓', '드롭숄더']",긴팔,['데님'],['무지'],라운드넥,오버사이즈,발목,블랙,팬츠,['우븐'],['무지'],스키니,화이트,없음,,,,,,,,,,,,,,,,,,,,,
1,1029646,펑크,"아우터, 하의",4,노말,블루,재킷,셔츠칼라,"['단추', '디스트로이드', '포켓', '드롭숄더']",긴팔,['데님'],['무지'],라운드넥,오버사이즈,발목,블랙,팬츠,['우븐'],['무지'],스키니,,,,,,,,,,,,,,,,,,,,,,,
2,1029647,펑크,"아우터, 하의",4,노말,블루,재킷,셔츠칼라,"['단추', '디스트로이드']",긴팔,['데님'],['무지'],,오버사이즈,,블랙,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1029648,펑크,"아우터, 하의, 상의",10,노말,블루,재킷,셔츠칼라,"['단추', '디스트로이드', '포켓', '드롭숄더']",긴팔,['데님'],['무지'],라운드넥,오버사이즈,발목,블랙,팬츠,['우븐'],['무지'],스키니,화이트,없음,,,,,,,,,,,,,,,,,,,,,
4,1029649,펑크,"아우터, 하의, 상의",10,노말,블루,재킷,셔츠칼라,"['단추', '디스트로이드', '포켓', '드롭숄더']",긴팔,['데님'],['무지'],라운드넥,오버사이즈,,블랙,,,,,화이트,없음,,,,,,,,,,,,,,,,,,,,,
5,1029882,펑크,"아우터, 하의",4,노말,네이비,재킷,셔츠칼라,"['단추', '스티치']",긴팔,['데님'],['무지'],라운드넥,오버사이즈,미디,핑크,스커트,['니트'],['무지'],노멀,,,화이트,,,,,,,,,,,,,,,,,,,,
6,1029883,펑크,"아우터, 하의",4,노말,네이비,재킷,셔츠칼라,"['단추', '스티치']",긴팔,['데님'],['무지'],라운드넥,오버사이즈,미디,핑크,스커트,['니트'],['무지'],노멀,,,화이트,,,,,,,,,,,,,,,,,,,,
7,1029886,펑크,"아우터, 하의",4,노말,네이비,재킷,셔츠칼라,"['단추', '스티치']",긴팔,['데님'],['무지'],라운드넥,오버사이즈,미디,핑크,스커트,['니트'],['무지'],노멀,,,화이트,,,,,,,,,,,,,,,,,,,,
8,1031245,펑크,"아우터, 원피스",6,하프,블랙,재킷,테일러드칼라,"['지퍼', '띠']",긴팔,['가죽'],['무지'],,루즈,,,,,,,,,,미디,드레스,['셔링'],['우븐'],['플로럴'],브이넥,루즈,,,,,,,,,,,,,
9,1031246,펑크,"아우터, 원피스",6,하프,블랙,재킷,테일러드칼라,"['지퍼', '띠']",긴팔,['가죽'],['무지'],,루즈,,,,,,,,,,미디,드레스,['셔링'],['우븐'],['플로럴'],브이넥,루즈,블랙,화이트,없음,,,,,,,,,,
10,1031247,펑크,"아우터, 원피스",6,하프,블랙,재킷,테일러드칼라,"['지퍼', '띠']",긴팔,['가죽'],['무지'],,루즈,,,,,,,,,,미디,드레스,['셔링'],['우븐'],['플로럴'],브이넥,루즈,블랙,화이트,없음,,,,,,,,,,
11,1031248,펑크,"아우터, 원피스",6,하프,블랙,재킷,테일러드칼라,"['지퍼', '띠']",긴팔,['가죽'],['무지'],,루즈,,,,,,,,,,미디,드레스,['셔링'],['우븐'],['플로럴'],브이넥,루즈,블랙,화이트,없음,,,,,,,,,,
12,1031249,펑크,"아우터, 원피스",6,하프,블랙,재킷,테일러드칼라,"['지퍼', '띠']",긴팔,['가죽'],['무지'],,루즈,,,,,,,,,,미디,드레스,['셔링'],['우븐'],['플로럴'],브이넥,루즈,블랙,화이트,없음,,,,,,,,,,
13,1031250,펑크,"아우터, 원피스",6,하프,블랙,재킷,테일러드칼라,"['지퍼', '띠']",긴팔,['가죽'],['무지'],,루즈,,,,,,,,,,미디,드레스,['셔링'],['우븐'],['플로럴'],브이넥,루즈,블랙,화이트,없음,,,,,,,,,,
14,1031251,펑크,"아우터, 원피스",6,하프,블랙,재킷,테일러드칼라,"['지퍼', '띠']",긴팔,['가죽'],['무지'],,루즈,,,,,,,,,,미디,드레스,['셔링'],['우븐'],['플로럴'],브이넥,루즈,블랙,화이트,없음,,,,,,,,,,
15,1031252,펑크,"아우터, 원피스",6,하프,블랙,재킷,테일러드칼라,"['지퍼', '띠']",긴팔,['가죽'],['무지'],,루즈,,,,,,,,,,미디,드레스,['셔링'],['우븐'],['플로럴'],브이넥,루즈,,,,,,,,,,,,,
16,1034180,펑크,"아우터, 상의",2,노말,베이지,재킷,셔츠칼라,['포켓'],긴팔,['우븐'],['무지'],,루즈,,,,,,,그레이,없음,,,,,,,,,,,,티셔츠,['우븐'],['무지'],라운드넥,노멀,,,,,
17,1034181,펑크,"아우터, 하의",4,노말,베이지,재킷,셔츠칼라,"['포켓', '퍼프']",긴팔,['우븐'],['무지'],,루즈,발목,블루,청바지,['데님'],['무지'],루즈,,,,,,,,,,,,,,,,,,,['디스트로이드'],,,,
18,1034183,펑크,"아우터, 상의",2,노말,베이지,재킷,셔츠칼라,['포켓'],긴팔,['우븐'],['무지'],,루즈,,,,,,,그레이,없음,,,,,,,,,,,,티셔츠,['우븐'],['무지'],라운드넥,노멀,,,,,
19,1034184,펑크,"아우터, 하의, 상의",10,노말,베이지,재킷,셔츠칼라,['포켓'],긴팔,['우븐'],['무지'],,루즈,발목,블루,청바지,['데님'],['무지'],루즈,그레이,없음,,,,,,,,,,,,티셔츠,['우븐'],['무지'],라운드넥,노멀,['디스트로이드'],,,,
20,1034185,펑크,"아우터, 하의, 상의",10,노말,베이지,재킷,셔츠칼라,['포켓'],긴팔,['우븐'],['무지'],,루즈,발목,블루,청바지,['데님'],['무지'],루즈,그레이,없음,,,,,,,,,,,,티셔츠,['우븐'],['무지'],라운드넥,노멀,['디스트로이드'],,,,
21,1034187,펑크,"아우터, 상의",2,노말,베이지,재킷,셔츠칼라,['포켓'],긴팔,['우븐'],['무지'],,루즈,,,,,,,그레이,없음,,,,,,,,,,,,티셔츠,['우븐'],['무지'],라운드넥,노멀,,,,,
22,1034191,펑크,"아우터, 하의",4,노말,베이지,재킷,셔츠칼라,"['포켓', '퍼프']",긴팔,['우븐'],['무지'],,루즈,발목,블루,청바지,['데님'],['무지'],루즈,,,,,,,,,,,,,,,,,,,['디스트로이드'],,,,
23,1039696,펑크,"아우터, 하의",4,노말,그린,재킷,테일러드칼라,"['단추', '지퍼']",긴팔,['가죽'],['무지'],,루즈,발목,블랙,팬츠,['우븐'],['무지'],스키니,,,,,,,,,,,,,,,,,,,,,,,
24,1039698,펑크,"아우터, 하의",4,노말,그린,재킷,테일러드칼라,"['단추', '지퍼']",긴팔,['가죽'],['무지'],,루즈,,블랙,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1039699,펑크,"아우터, 하의",4,노말,그린,재킷,테일러드칼라,"['단추', '지퍼']",긴팔,['가죽'],['무지'],,루즈,발목,블랙,팬츠,['우븐'],['무지'],스키니,,,,,,,,,,,,,,,,,,,,,,,
26,1039700,펑크,"아우터, 하의",4,노말,그린,재킷,테일러드칼라,"['단추', '지퍼']",긴팔,['가죽'],['무지'],,루즈,,블랙,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1039703,펑크,"아우터, 하의",4,노말,그린,재킷,테일러드칼라,"['단추', '지퍼']",긴팔,['가죽'],['무지'],,루즈,,블랙,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1039704,펑크,"아우터, 하의",4,노말,그린,재킷,테일러드칼라,"['단추', '지퍼']",긴팔,['가죽'],['무지'],,루즈,,블랙,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1039705,펑크,"아우터, 하의",4,노말,그린,재킷,테일러드칼라,"['단추', '지퍼']",긴팔,['가죽'],['무지'],,루즈,발목,블랙,팬츠,['우븐'],['무지'],스키니,,,,,,,,,,,,,,,,,,,,,,,
30,1134526,펑크,"하의, 상의",3,,,,,,,,,,,발목,블랙,팬츠,['니트'],['체크'],스키니,네이비,긴팔,,,,,,,,,,,,티셔츠,['니트'],,라운드넥,노멀,['포켓'],와인,노멀,레드,['자수']
31,1134528,펑크,"하의, 상의",3,,,,,,,,,,,발목,블랙,팬츠,['니트'],['체크'],스키니,네이비,긴팔,,,,,,,,,,,,티셔츠,['니트'],,라운드넥,노멀,['포켓'],와인,노멀,레드,['자수']
32,1134529,펑크,"하의, 상의",3,,,,,,,,,,,발목,블랙,팬츠,['니트'],['체크'],스키니,네이비,긴팔,,,,,,,,,,,,티셔츠,['니트'],,라운드넥,노멀,['포켓'],와인,노멀,레드,['자수']
33,1134530,펑크,"하의, 상의",3,,,,,,,,,,,발목,블랙,팬츠,['니트'],['체크'],스키니,네이비,긴팔,,,,,,,,,,,,티셔츠,['니트'],,라운드넥,노멀,['포켓'],와인,노멀,베이지,['자수']
34,1159989,펑크,"하의, 상의",3,,,,,,,,,,,발목,블랙,스커트,"['메시', '저지']",['레터링'],노멀,화이트,민소매,,,,,,,,,,,,티셔츠,['저지'],,라운드넥,타이트,,,노멀,,
