,ID,style,clothing_categories,mix_clothing_categories,아우터_기장,아우터_색상,아우터_카테고리,아우터_디테일,아우터_소매기장,아우터_소재,아우터_넥라인,아우터_핏,하의_기장,하의_색상,하의_카테고리,하의_디테일,하의_핏,아우터_프린트,원피스_기장,원피스_카테고리,원피스_디테일,원피스_프린트,원피스_넥라인,원피스_핏,아우터_서브색상,아우터_옷깃,원피스_색상,원피스_소매기장,원피스_소재,원피스_서브색상,하의_서브색상,하의_소재,하의_프린트,상의_색상,상의_서브색상,상의_카테고리,상의_소매기장,상의_소재,상의_프린트,상의_넥라인,상의_핏,상의_기장,상의_디테일,상의_옷깃,원피스_옷깃
0,1005430,프레피,"아우터, 하의",4,노말,옐로우,베스트,['니트꽈베기'],민소매,['니트'],브이넥,루즈,발목,카키,청바지,['롤업'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1005431,프레피,"아우터, 하의",4,노말,옐로우,베스트,['니트꽈베기'],민소매,['니트'],브이넥,루즈,발목,카키,청바지,['롤업'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1005434,프레피,"아우터, 하의",4,노말,옐로우,베스트,['니트꽈베기'],민소매,['니트'],브이넥,루즈,발목,카키,청바지,['롤업'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1005436,프레피,"아우터, 하의",4,노말,옐로우,베스트,['니트꽈베기'],민소매,['니트'],브이넥,루즈,발목,카키,청바지,['롤업'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1005437,프레피,"아우터, 하의",4,노말,옐로우,베스트,['니트꽈베기'],민소매,['니트'],브이넥,루즈,발목,카키,청바지,['롤업'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1005438,프레피,"아우터, 하의",4,노말,옐로우,베스트,['니트꽈베기'],민소매,['니트'],브이넥,루즈,발목,카키,청바지,['롤업'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1005439,프레피,"아우터, 하의",4,노말,옐로우,베스트,['니트꽈베기'],민소매,['니트'],브이넥,루즈,발목,카키,청바지,['롤업'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1005440,프레피,"아우터, 하의",4,노말,옐로우,베스트,['니트꽈베기'],민소매,['니트'],브이넥,루즈,발목,카키,청바지,['롤업'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1005441,프레피,"아우터, 하의",4,노말,옐로우,베스트,['니트꽈베기'],민소매,['니트'],브이넥,루즈,발목,카키,청바지,['롤업'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1005450,프레피,"아우터, 하의",4,노말,옐로우,베스트,['니트꽈베기'],민소매,['니트'],브이넥,루즈,발목,카키,청바지,['롤업'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1005451,프레피,"아우터, 하의",4,노말,옐로우,베스트,['니트꽈베기'],민소매,['니트'],브이넥,루즈,발목,카키,청바지,['롤업'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1027130,프레피,"아우터, 원피스",6,롱,베이지,코트,['단추'],긴팔,['울/캐시미어'],노카라,루즈,,,,,,['무지'],미니,드레스,['프릴'],['체크'],브이넥,노멀,,,,,,,,,,,,,,,,,,,,,
12,1028495,프레피,"아우터, 원피스",6,롱,베이지,코트,['퍼트리밍'],긴팔,['울/캐시미어'],,노멀,,,,,,['체크'],니렝스,드레스,,['무지'],터틀넥,노멀,블랙,테일러드칼라,베이지,긴팔,['니트'],,,,,,,,,,,,,,,,
13,1028496,프레피,"아우터, 원피스",6,롱,,코트,['퍼트리밍'],,['울/캐시미어'],,노멀,,,,,,['체크'],니렝스,드레스,,['무지'],터틀넥,노멀,,테일러드칼라,베이지,긴팔,['니트'],블랙,,,,,,,,,,,,,,,
14,1028497,프레피,"아우터, 원피스",6,롱,베이지,코트,['퍼트리밍'],긴팔,['울/캐시미어'],,노멀,,,,,,['체크'],니렝스,드레스,,['무지'],터틀넥,노멀,블랙,테일러드칼라,,,['니트'],,,,,,,,,,,,,,,,
15,1028498,프레피,"아우터, 원피스",6,롱,베이지,코트,['퍼트리밍'],긴팔,['울/캐시미어'],,노멀,,,,,,['체크'],니렝스,드레스,,['무지'],터틀넥,노멀,블랙,테일러드칼라,,,['니트'],,,,,,,,,,,,,,,,
16,1028502,프레피,"아우터, 원피스",6,롱,베이지,코트,,긴팔,['울/캐시미어'],,노멀,,,,,,['체크'],니렝스,드레스,,['무지'],터틀넥,노멀,블랙,테일러드칼라,베이지,긴팔,['니트'],,,,,,,,,,,,,,,,
17,1028834,프레피,"아우터, 하의, 상의",10,하프,화이트,재킷,,긴팔,['울/캐시미어'],,루즈,미니,화이트,스커트,['플리츠'],노멀,['체크'],,,,,,,브라운,테일러드칼라,,,,,브라운,['울/캐시미어'],['체크'],와인,화이트,티셔츠,없음,['저지'],['레터링'],라운드넥,노멀,,,,
18,1028835,프레피,"아우터, 하의, 상의",10,하프,화이트,재킷,,긴팔,['울/캐시미어'],,루즈,미니,화이트,스커트,['플리츠'],노멀,['체크'],,,,,,,브라운,테일러드칼라,,,,,브라운,['울/캐시미어'],['체크'],와인,화이트,티셔츠,없음,['저지'],['레터링'],라운드넥,노멀,,,,
19,1028836,프레피,"아우터, 하의",4,하프,화이트,재킷,,긴팔,['울/캐시미어'],,루즈,미니,화이트,스커트,['플리츠'],노멀,['체크'],,,,,,,브라운,테일러드칼라,,,,,브라운,['울/캐시미어'],['체크'],,,,,,,,,,,,
20,1028837,프레피,"아우터, 하의, 상의",10,하프,화이트,재킷,,긴팔,['울/캐시미어'],,루즈,미니,화이트,스커트,['플리츠'],노멀,['체크'],,,,,,,브라운,테일러드칼라,,,,,브라운,['울/캐시미어'],['체크'],와인,화이트,티셔츠,없음,['저지'],['레터링'],라운드넥,노멀,,,,
21,1028838,프레피,"아우터, 하의",4,하프,화이트,재킷,,긴팔,['울/캐시미어'],,루즈,미니,화이트,스커트,['플리츠'],노멀,['체크'],,,,,,,브라운,테일러드칼라,,,,,브라운,['울/캐시미어'],['체크'],,,,,,,,,,,,
22,1028839,프레피,"아우터, 하의",4,하프,화이트,재킷,,긴팔,['울/캐시미어'],,루즈,미니,화이트,스커트,['플리츠'],노멀,['체크'],,,,,,,브라운,테일러드칼라,,,,,브라운,['울/캐시미어'],['체크'],,,,,,,,,,,,
23,1028842,프레피,"아우터, 하의",4,하프,화이트,재킷,,긴팔,['울/캐시미어'],,루즈,미니,화이트,스커트,['플리츠'],노멀,['체크'],,,,,,,브라운,테일러드칼라,,,,,브라운,['울/캐시미어'],['체크'],,,,,,,,,,,,
24,1028845,프레피,"아우터, 하의",4,하프,브라운,재킷,,긴팔,['울/캐시미어'],,노멀,미니,브라운,스커트,['플리츠'],노멀,['체크'],,,,,,,화이트,테일러드칼라,,,,,화이트,['울/캐시미어'],['체크'],,,,,,,,,,,,
25,1028846,프레피,"아우터, 하의, 상의",10,하프,브라운,재킷,,긴팔,['울/캐시미어'],,노멀,미니,브라운,스커트,['플리츠'],노멀,['체크'],,,,,,,화이트,테일러드칼라,,,,,화이트,['울/캐시미어'],['체크'],화이트,,티셔츠,없음,['저지'],['무지'],라운드넥,타이트,,,,
26,1028847,프레피,"아우터, 하의, 상의",10,하프,브라운,재킷,,긴팔,['울/캐시미어'],,노멀,미니,브라운,스커트,['플리츠'],노멀,['체크'],,,,,,,화이트,테일러드칼라,,,,,화이트,['울/캐시미어'],['체크'],화이트,,티셔츠,없음,['저지'],['무지'],라운드넥,타이트,,,,
27,1029616,프레피,"아우터, 하의, 상의",10,하프,퍼플,재킷,"['포켓', '롤업', '단추']",긴팔,['우븐'],브이넥,오버사이즈,미니,퍼플,스커트,['플리츠'],루즈,['무지'],,,,,,,,테일러드칼라,,,,,,['우븐'],['무지'],화이트,,,없음,,,,,,,,
28,1034423,프레피,"아우터, 하의",4,크롭,베이지,재킷,,반팔,['우븐'],,루즈,미니,베이지,스커트,,노멀,['체크'],,,,,,,스카이블루,테일러드칼라,,,,,스카이블루,['우븐'],['체크'],,,,,,,,,,,,
29,1034424,프레피,"아우터, 하의",4,크롭,베이지,재킷,,반팔,['우븐'],,루즈,미니,베이지,스커트,,노멀,['체크'],,,,,,,스카이블루,테일러드칼라,,,,,스카이블루,['우븐'],['체크'],,,,,,,,,,,,
30,1034425,프레피,"아우터, 하의",4,크롭,베이지,재킷,,반팔,['우븐'],,루즈,미니,베이지,스커트,,노멀,['체크'],,,,,,,스카이블루,테일러드칼라,,,,,스카이블루,['우븐'],['체크'],,,,,,,,,,,,
31,1034426,프레피,"아우터, 하의, 상의",10,크롭,베이지,재킷,,반팔,['우븐'],,루즈,미니,베이지,스커트,,노멀,['체크'],,,,,,,스카이블루,테일러드칼라,,,,,스카이블루,['우븐'],['체크'],,,티셔츠,,['우븐'],['무지'],라운드넥,노멀,,,,
32,1034427,프레피,"하의, 상의",3,,,,,,,,,미니,베이지,스커트,,노멀,,,,,,,,,,,,,,스카이블루,['우븐'],['체크'],화이트,,티셔츠,반팔,['우븐'],['무지'],라운드넥,노멀,,,,
33,1034456,프레피,"아우터, 하의, 상의",10,하프,그린,재킷,,반팔,['린넨'],,노멀,,,스커트,,노멀,['체크'],,,,,,,브라운,테일러드칼라,,,,,,['우븐'],['무지'],,,티셔츠,,['우븐'],['레터링'],라운드넥,노멀,,,,
34,1034457,프레피,"아우터, 하의",4,하프,그린,재킷,,반팔,['린넨'],,노멀,,,스커트,['슬릿'],노멀,['체크'],,,,,,,브라운,테일러드칼라,,,,,,['우븐'],['무지'],,,,,,,,,,,,
35,1034460,프레피,"아우터, 하의",4,하프,그린,재킷,,반팔,['린넨'],,노멀,미디,베이지,스커트,['슬릿'],노멀,['체크'],,,,,,,브라운,테일러드칼라,,,,,,['우븐'],['무지'],,,,,,,,,,,,
36,1034461,프레피,"아우터, 하의",4,노말,베이지,재킷,,반팔,['린넨'],,노멀,미니,,스커트,,노멀,['체크'],,,,,,,블랙,테일러드칼라,,,,,,['우븐'],['무지'],,,,,,,,,,,,
37,1034462,프레피,"아우터, 하의",4,노말,베이지,재킷,,반팔,['린넨'],,노멀,미니,,스커트,,노멀,['체크'],,,,,,,블랙,테일러드칼라,,,,,,['우븐'],['무지'],,,,,,,,,,,,
38,1034463,프레피,"아우터, 하의, 상의",10,노말,베이지,재킷,,반팔,['린넨'],,노멀,미니,베이지,스커트,,노멀,['체크'],,,,,,,블랙,테일러드칼라,,,,,,['린넨'],['무지'],,,탑,,['니트'],['무지'],브이넥,노멀,,,,
39,1034464,프레피,"아우터, 하의, 상의",10,노말,베이지,재킷,,반팔,['린넨'],,노멀,미니,베이지,스커트,,노멀,['체크'],,,,,,,블랙,테일러드칼라,,,,,,['린넨'],['무지'],,,탑,,['니트'],['무지'],브이넥,노멀,,,,
40,1034465,프레피,"아우터, 하의, 상의",10,노말,베이지,재킷,,반팔,['린넨'],,노멀,미니,,스커트,,노멀,['체크'],,,,,,,블랙,테일러드칼라,,,,,,['린넨'],['무지'],,,탑,,['니트'],['무지'],브이넥,노멀,,,,
41,1034466,프레피,"아우터, 하의, 상의",10,노말,베이지,재킷,,반팔,['린넨'],,노멀,미니,베이지,스커트,,노멀,['체크'],,,,,,,블랙,테일러드칼라,,,,,,['린넨'],['무지'],,,탑,,['니트'],['무지'],브이넥,노멀,,,,
42,1034467,프레피,"아우터, 하의",4,노말,베이지,재킷,,반팔,['린넨'],,노멀,미니,,스커트,,노멀,['체크'],,,,,,,블랙,,,,,,,['우븐'],['무지'],,,,,,,,,,,,
43,1034510,프레피,"아우터, 하의, 상의",10,노말,브라운,재킷,,긴팔,['우븐'],,노멀,미니,베이지,스커트,,노멀,['체크'],,,,,,,그레이,테일러드칼라,,,,,,['우븐'],['무지'],화이트,,티셔츠,민소매,['우븐'],['무지'],라운드넥,노멀,,,,
44,1034511,프레피,"아우터, 하의, 상의",10,노말,브라운,재킷,,7부소매,['우븐'],,노멀,미니,베이지,스커트,,노멀,['체크'],,,,,,,그레이,테일러드칼라,,,,,,['우븐'],['무지'],화이트,,티셔츠,민소매,['우븐'],['무지'],라운드넥,노멀,,,,
45,1034512,프레피,"아우터, 하의, 상의",10,노말,브라운,재킷,,7부소매,['우븐'],,노멀,미니,베이지,스커트,,노멀,['체크'],,,,,,,그레이,테일러드칼라,,,,,,['우븐'],['무지'],화이트,,티셔츠,민소매,['우븐'],['무지'],라운드넥,노멀,,,,
