,ID,style,clothing_categories,mix_clothing_categories,하의_기장,하의_색상,하의_카테고리,하의_소재,하의_프린트,하의_핏,상의_색상,상의_서브색상,상의_카테고리,상의_옷깃,상의_디테일,상의_소매기장,상의_소재,상의_프린트,상의_핏,아우터_기장,아우터_색상,아우터_카테고리,아우터_디테일,아우터_소매기장,아우터_소재,아우터_프린트,아우터_넥라인,아우터_핏,상의_기장,하의_서브색상,하의_디테일,상의_넥라인,원피스_색상,원피스_서브색상,원피스_소매기장,아우터_옷깃,아우터_서브색상,원피스_기장,원피스_카테고리,원피스_디테일,원피스_소재,원피스_프린트,원피스_넥라인,원피스_핏,원피스_옷깃
0,100676,히피,"하의, 상의",3,발목,블랙,팬츠,['우븐'],['무지'],루즈,화이트,오렌지,블라우스,셔츠칼라,['퍼프'],긴팔,['시폰'],['플로럴'],루즈,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1007987,히피,"아우터, 하의",4,미니,블랙,팬츠,['우븐'],['무지'],노멀,,,,,,,,,,맥시,베이지,가디건,['슬릿'],긴팔,['우븐'],['무지'],노카라,루즈,,,,,,,,,,,,,,,,,
2,1007990,히피,"아우터, 하의",4,미니,블랙,팬츠,['우븐'],['무지'],노멀,,,,,,,,,,맥시,베이지,가디건,['슬릿'],긴팔,['우븐'],['무지'],노카라,루즈,,,,,,,,,,,,,,,,,
3,1007991,히피,"아우터, 하의",4,미니,블랙,팬츠,['우븐'],['무지'],노멀,,,,,,,,,,맥시,베이지,가디건,['슬릿'],긴팔,['우븐'],['무지'],노카라,루즈,,,,,,,,,,,,,,,,,
4,1009247,히피,"하의, 상의",3,발목,블루,청바지,['데님'],['무지'],스키니,카키,화이트,블라우스,,"['컷아웃', '레이스업', '프릴']",7부소매,['시폰'],['플로럴'],루즈,,,,,,,,,,롱,,,,,,,,,,,,,,,,
5,1009248,히피,"하의, 상의",3,발목,블루,청바지,['데님'],['무지'],스키니,카키,화이트,블라우스,,"['컷아웃', '레이스업', '프릴']",7부소매,['시폰'],['플로럴'],루즈,,,,,,,,,,롱,,,,,,,,,,,,,,,,
6,1009249,히피,"하의, 상의",3,발목,블루,청바지,['데님'],['무지'],스키니,카키,화이트,블라우스,,"['컷아웃', '레이스업', '프릴']",7부소매,['시폰'],['플로럴'],루즈,,,,,,,,,,롱,,,,,,,,,,,,,,,,
7,1009250,히피,"하의, 상의",3,발목,블루,청바지,['데님'],['무지'],스키니,카키,화이트,블라우스,,"['컷아웃', '레이스업', '프릴']",7부소매,['시폰'],['플로럴'],루즈,,,,,,,,,,롱,,,,,,,,,,,,,,,,
8,1009251,히피,"하의, 상의",3,발목,블루,청바지,['데님'],['무지'],스키니,카키,화이트,블라우스,,"['컷아웃', '레이스업', '프릴']",7부소매,['시폰'],['플로럴'],루즈,,,,,,,,,,롱,,,,,,,,,,,,,,,,
9,1009252,히피,"하의, 상의",3,발목,블루,청바지,['데님'],['무지'],스키니,카키,화이트,블라우스,,"['컷아웃', '레이스업', '프릴']",7부소매,['시폰'],['플로럴'],루즈,,,,,,,,,,롱,,,,,,,,,,,,,,,,
